latent_dim,train_networks,train_frames_per_network,signal,progress_corr_r_mean,progress_corr_r_std,progress_corr_r2_mean,progress_corr_r2_std,repeats,n
1,1,1,z0,-0.7392365855711587,,0.546470729446905,,1,800.0
1,1,1,z1,,,,,1,0.0
1,1,1,z2,,,,,1,0.0
1,1,1,z3,,,,,1,0.0
1,1,2,z0,-0.6979767801288975,,0.48717158559910334,,1,800.0
1,1,2,z1,,,,,1,0.0
1,1,2,z2,,,,,1,0.0
1,1,2,z3,,,,,1,0.0
1,1,4,z0,0.6183863197858953,,0.3824016404983436,,1,800.0
1,1,4,z1,,,,,1,0.0
1,1,4,z2,,,,,1,0.0
1,1,4,z3,,,,,1,0.0
2,1,1,z0,-0.8089436776741922,,0.6543898736490473,,1,800.0
2,1,1,z1,-0.8234352447860598,,0.6780456023558782,,1,800.0
2,1,1,z2,,,,,1,0.0
2,1,1,z3,,,,,1,0.0
2,1,2,z0,-0.620153324612433,,0.3845901460278537,,1,800.0
2,1,2,z1,-0.6195852791675672,,0.3838859181611522,,1,800.0
2,1,2,z2,,,,,1,0.0
2,1,2,z3,,,,,1,0.0
2,1,4,z0,0.5910287542332212,,0.3493149883304734,,1,800.0
2,1,4,z1,-0.5919559124436413,,0.35041180227698393,,1,800.0
2,1,4,z2,,,,,1,0.0
2,1,4,z3,,,,,1,0.0
4,1,1,z0,0.18988038834887297,,0.03605456187951881,,1,800.0
4,1,1,z1,0.5776651395241781,,0.3336970134214881,,1,800.0
4,1,1,z2,-0.7531317046656895,,0.5672073645726473,,1,800.0
4,1,1,z3,0.855510220609222,,0.7318977375668397,,1,800.0
4,1,2,z0,0.6499882196959289,,0.42248468574348313,,1,800.0
4,1,2,z1,-0.6545965930065055,,0.4284966995757246,,1,800.0
4,1,2,z2,0.6539593511259377,,0.4276628329250575,,1,800.0
4,1,2,z3,0.6481247126372032,,0.4200656431310572,,1,800.0
4,1,4,z0,-0.8100710390369792,,0.656215088286451,,1,800.0
4,1,4,z1,-0.8101022671123287,,0.6562656831805347,,1,800.0
4,1,4,z2,0.8093000541348859,,0.6549665776227293,,1,800.0
4,1,4,z3,0.8092723505666779,,0.654921737391716,,1,800.0
