dataset,epoch,train_mse_norm
single-network CV2 sim-0,1,0.5573032788932324
single-network CV2 sim-0,2,0.3010693393647671
single-network CV2 sim-0,3,0.16732950881123543
single-network CV2 sim-0,4,0.1316650653257966
single-network CV2 sim-0,5,0.11360517765861004
single-network CV2 sim-0,6,0.10573144182562828
single-network CV2 sim-0,7,0.08793651286978274
single-network CV2 sim-0,8,0.08050852287560702
single-network CV2 sim-0,9,0.06843647295609116
single-network CV2 sim-0,10,0.061533387191593646
single-network CV2 sim-0,11,0.05427238894626498
single-network CV2 sim-0,12,0.043196401896420863
single-network CV2 sim-0,13,0.03952103949850425
single-network CV2 sim-0,14,0.041577564738690856
single-network CV2 sim-0,15,0.04063436924479902
single-network CV2 sim-0,16,0.03655730662867427
single-network CV2 sim-0,17,0.03118392494507134
single-network CV2 sim-0,18,0.029456459498032928
single-network CV2 sim-0,19,0.029580288706347345
single-network CV2 sim-0,20,0.028917165519669653
single-network CV2 sim-0,21,0.024685987271368504
single-network CV2 sim-0,22,0.022138516465201975
single-network CV2 sim-0,23,0.02313648760318756
single-network CV2 sim-0,24,0.022240683529525997
single-network CV2 sim-0,25,0.025791417434811593
single-network CV2 sim-0,26,0.02798682786524296
single-network CV2 sim-0,27,0.027293216646648945
single-network CV2 sim-0,28,0.01966221029870212
single-network CV2 sim-0,29,0.016403796803206205
single-network CV2 sim-0,30,0.015233796346001327
single-network CV2 sim-0,31,0.01673886924982071
single-network CV2 sim-0,32,0.011404107115231455
single-network CV2 sim-0,33,0.009867603168822825
single-network CV2 sim-0,34,0.010637255758047104
single-network CV2 sim-0,35,0.011529863602481783
single-network CV2 sim-0,36,0.013715485949069262
single-network CV2 sim-0,37,0.009617854026146233
single-network CV2 sim-0,38,0.008295761444605887
single-network CV2 sim-0,39,0.006883600424043834
single-network CV2 sim-0,40,0.0066325459280051294
single-network CV2 sim-0,41,0.005426221661036834
single-network CV2 sim-0,42,0.006031465320847929
single-network CV2 sim-0,43,0.004720853478647769
single-network CV2 sim-0,44,0.006622030236758292
single-network CV2 sim-0,45,0.0054311347659677265
single-network CV2 sim-0,46,0.005943464010488242
single-network CV2 sim-0,47,0.004610654478892684
single-network CV2 sim-0,48,0.0037711829354520887
single-network CV2 sim-0,49,0.002849685063119978
single-network CV2 sim-0,50,0.0026478971471078695
single-network CV2 sim-0,51,0.0025848715275060387
single-network CV2 sim-0,52,0.0017957247677259148
single-network CV2 sim-0,53,0.0019367435306776315
single-network CV2 sim-0,54,0.002593921055085957
single-network CV2 sim-0,55,0.0022801240615081043
single-network CV2 sim-0,56,0.005309298192150891
single-network CV2 sim-0,57,0.006477682990953327
single-network CV2 sim-0,58,0.004903003468643874
single-network CV2 sim-0,59,0.0021010537922848014
single-network CV2 sim-0,60,0.001352365079219453
single-network CV2 sim-0,61,0.0009546038199914619
single-network CV2 sim-0,62,0.0009520371240796521
single-network CV2 sim-0,63,0.0010512942186323925
single-network CV2 sim-0,64,0.0011924388265470043
single-network CV2 sim-0,65,0.0008781213342444971
single-network CV2 sim-0,66,0.00485971781599801
single-network CV2 sim-0,67,0.004720447992440313
single-network CV2 sim-0,68,0.0029501829470973463
single-network CV2 sim-0,69,0.0018903781718108803
single-network CV2 sim-0,70,0.0011308391447528265
single-network CV2 sim-0,71,0.0014048907905817032
single-network CV2 sim-0,72,0.001807405601721257
single-network CV2 sim-0,73,0.0007611887311213649
single-network CV2 sim-0,74,0.0005058017850387841
single-network CV2 sim-0,75,0.00045909302425570784
single-network CV2 sim-0,76,0.0004739299838547595
single-network CV2 sim-0,77,0.0004515612599789165
single-network CV2 sim-0,78,0.00038772710104240105
single-network CV2 sim-0,79,0.0006510450708447024
single-network CV2 sim-0,80,0.005055727137369103
single-network CV2 sim-0,81,0.0022232085146242754
single-network CV2 sim-0,82,0.0015742553456220775
single-network CV2 sim-0,83,0.0006849596058600583
single-network CV2 sim-0,84,0.0009583395265508443
single-network CV2 sim-0,85,0.001609647329314612
single-network CV2 sim-0,86,0.001972574190585874
single-network CV2 sim-0,87,0.0011017747601727024
single-network CV2 sim-0,88,0.0011170701851369812
single-network CV2 sim-0,89,0.0005843022459885106
single-network CV2 sim-0,90,0.0004289625030651223
single-network CV2 sim-0,91,0.002273606468224898
single-network CV2 sim-0,92,0.012258728186134249
single-network CV2 sim-0,93,0.008397803409025073
single-network CV2 sim-0,94,0.006326199125032872
single-network CV2 sim-0,95,0.0066357959411107005
single-network CV2 sim-0,96,0.001713226901483722
single-network CV2 sim-0,97,0.0013788554730126633
single-network CV2 sim-0,98,0.006986122590024024
single-network CV2 sim-0,99,0.005397540109697729
single-network CV2 sim-0,100,0.002287117962259799
single-network CV2 sim-0,101,0.0012908478602184914
single-network CV2 sim-0,102,0.0005433688245830126
single-network CV2 sim-0,103,0.00044667990150628614
single-network CV2 sim-0,104,0.000296831064770231
single-network CV2 sim-0,105,0.0003298673022072762
single-network CV2 sim-0,106,0.00021391697409853805
single-network CV2 sim-0,107,0.00018250125140184537
single-network CV2 sim-0,108,0.00020761296582350042
single-network CV2 sim-0,109,0.00044365517824189736
single-network CV2 sim-0,110,0.0003743832479813136
single-network CV2 sim-0,111,0.0005265224841423333
single-network CV2 sim-0,112,0.0005128930948558264
single-network CV2 sim-0,113,0.0003767233927646885
single-network CV2 sim-0,114,0.00018086203781422227
single-network CV2 sim-0,115,0.00014636046762461774
single-network CV2 sim-0,116,0.0001681590500083985
single-network CV2 sim-0,117,0.00022607633582083508
single-network CV2 sim-0,118,0.00017703923949738965
single-network CV2 sim-0,119,0.00030502034423989243
single-network CV2 sim-0,120,0.00032246192786260507
single-network CV2 sim-0,121,0.0005297344410791993
