dataset,epoch,train_dz_mse_norm,train_dz_mse_raw
single-network CV2 sim-0,1,0.7755108675803057,9.927562994338501e-06
single-network CV2 sim-0,2,0.6718363313004374,8.62250167728007e-06
single-network CV2 sim-0,3,0.6247759441845119,8.010136720315587e-06
single-network CV2 sim-0,4,0.5834791151806712,7.468136956845228e-06
single-network CV2 sim-0,5,0.567567021625291,7.290282479344157e-06
single-network CV2 sim-0,6,0.5982927159406245,7.709543457679046e-06
single-network CV2 sim-0,7,0.5254151791334152,6.719675471344999e-06
single-network CV2 sim-0,8,0.6268223060294986,8.065911987387154e-06
single-network CV2 sim-0,9,0.5494693814544007,7.060151191318198e-06
single-network CV2 sim-0,10,0.5708074551075697,7.390826829123398e-06
single-network CV2 sim-0,11,0.5107810491696,6.5580720558955365e-06
single-network CV2 sim-0,12,0.5234348000609316,6.7168180647669825e-06
single-network CV2 sim-0,13,0.5055409556720406,6.511008482590341e-06
single-network CV2 sim-0,14,0.48272434221580623,6.213454614822922e-06
single-network CV2 sim-0,15,0.48678823802620175,6.271469956686815e-06
single-network CV2 sim-0,16,0.4476996777390013,5.758672758515715e-06
single-network CV2 sim-0,17,0.5250199474394321,6.832203796847125e-06
single-network CV2 sim-0,18,0.4977586021646857,6.400427874098113e-06
single-network CV2 sim-0,19,0.4718709519132972,6.101931126067938e-06
single-network CV2 sim-0,20,0.4569453252479434,5.885271167471728e-06
single-network CV2 sim-0,21,0.49777651820331814,6.401497054753236e-06
single-network CV2 sim-0,22,0.41765676336362956,5.388266199446434e-06
single-network CV2 sim-0,23,0.4232601705007255,5.463946396844221e-06
single-network CV2 sim-0,24,0.42532551465556023,5.491965980297664e-06
single-network CV2 sim-0,25,0.4036575285717845,5.2130623785728855e-06
single-network CV2 sim-0,26,0.41488202577456834,5.347118360532477e-06
single-network CV2 sim-0,27,0.3920104565098882,5.039499507120127e-06
single-network CV2 sim-0,28,0.4277098340913653,5.513393415412793e-06
single-network CV2 sim-0,29,0.39860045723617077,5.130631399197227e-06
single-network CV2 sim-0,30,0.3859125139657408,4.965981521820595e-06
