dataset,split,sim_idx,target_index,rollout_steps,pred_p_ratio,true_p_ratio,final_pos_mse,initial_to_target_mse,pred_to_initial_mse,movement_fraction_mse
single-network CV2 sim-0,train,0,10,10,-0.32363982445936657,-0.2799691918358365,8.471825907463426e-08,4.493631877267035e-06,5.145516297488939e-06,1.1450684964916111
single-network CV2 sim-0,train,0,20,20,-0.3835047035659593,-0.36364890974330666,7.670896451372755e-08,1.9026365407626145e-05,1.992652141780127e-05,1.0473109808883585
single-network CV2 sim-0,train,0,30,30,-0.4162366889889121,-0.4001104972375691,8.051610933534903e-08,4.407133747008629e-05,4.5785054680891335e-05,1.0388850738185162
single-network CV2 sim-0,train,0,40,40,-0.43449526662178317,-0.42006022764946405,8.24932797627298e-08,7.972279854584485e-05,8.229759259847924e-05,1.0322968347774915
single-network CV2 sim-0,train,0,50,50,-0.4449497945641904,-0.4333727392250666,7.754715625196695e-08,0.00012610366684384644,0.00012936997518409044,1.0259017713123968
single-network CV2 sim-0,train,0,60,60,-0.4517566331198536,-0.4427619345692877,7.440366545097277e-08,0.00018319286755286157,0.00018722591630648822,1.022015315374999
single-network CV2 sim-0,train,0,70,70,-0.4575845562269481,-0.45013056066140217,7.377516197948353e-08,0.0002510483027435839,0.000255757593549788,1.0187585048563903
single-network CV2 sim-0,train,0,80,80,-0.4627658843102476,-0.45577893262110325,7.243843924698012e-08,0.0003297053917776793,0.00033489277120679617,1.0157333776106843
single-network CV2 sim-0,train,0,90,90,-0.46712239981411957,-0.4607018641541378,7.13574550559315e-08,0.00041918031638488173,0.00042501522693783045,1.0139198104607356
single-network CV2 sim-0,train,0,100,100,-0.47069503358806347,-0.46487262289199854,7.745700969508107e-08,0.0005195323610678315,0.0005266140215098858,1.0136308360609123
