dataset,split,rollout_steps,used,p_ratio_r2,p_ratio_pearson,p_ratio_mse,final_pos_mse,initial_to_target_mse,pred_to_initial_mse,movement_fraction_mse
single-network CV2 sim-0,train,10,1,,,0.0019071241537393269,8.471825907463426e-08,4.493631877267035e-06,5.145516297488939e-06,1.1450684964916111
single-network CV2 sim-0,train,20,1,,,0.00039425254832769005,7.670896451372755e-08,1.9026365407626145e-05,1.992652141780127e-05,1.0473109808883585
single-network CV2 sim-0,train,30,1,,,0.000260054060401083,8.051610933534903e-08,4.407133747008629e-05,4.5785054680891335e-05,1.0388850738185162
single-network CV2 sim-0,train,40,1,,,0.00020837035013237197,8.24932797627298e-08,7.972279854584485e-05,8.229759259847924e-05,1.0322968347774915
single-network CV2 sim-0,train,50,1,,,0.00013402821032513587,7.754715625196695e-08,0.00012610366684384644,0.00012936997518409044,1.0259017713123968
single-network CV2 sim-0,train,60,1,,,8.090460201555219e-05,7.440366545097277e-08,0.00018319286755286157,0.00018722591630648822,1.022015315374999
single-network CV2 sim-0,train,70,1,,,5.5562049891178456e-05,7.377516197948353e-08,0.0002510483027435839,0.000255757593549788,1.0187585048563903
single-network CV2 sim-0,train,80,1,,,4.8817493906437386e-05,7.243843924698012e-08,0.0003297053917776793,0.00033489277120679617,1.0157333776106843
single-network CV2 sim-0,train,90,1,,,4.122327816109788e-05,7.13574550559315e-08,0.00041918031638488173,0.00042501522693783045,1.0139198104607356
single-network CV2 sim-0,train,100,1,,,3.390046631365128e-05,7.745700969508107e-08,0.0005195323610678315,0.0005266140215098858,1.0136308360609123
