latent,signal,pearson_r,corr_r2,n
z0,trajectory_progress,-0.999941146909911,0.9998822972835082,154
z0,p_ratio,0.696775376541231,0.48549592535417424,153
z0,horizontal_strain,0.9999649738967149,0.9999299490202577,154
z0,x_compression,-0.9999649738967149,0.9999299490202577,154
z0,vertical_strain,0.9988613526294757,0.9977240017767859,154
z0,mean_abs_x_disp,-0.9999263170870004,0.9998526396031725,154
z0,mean_abs_y_disp,-0.9996829442589215,0.9993659890421859,154
z0,mean_x_disp,0.9999415878565537,0.999883179125086,154
z0,mean_y_disp,-0.9994531858871508,0.9989066707799756,154
z0,rms_disp,-0.9998688183588605,0.9997376539263441,154
z0,max_node_disp,-0.9997804783910182,0.9995610049717732,154
z0,lambda5,0.9980902140350905,0.9961840753526127,154
z0,lambda6,0.9982110931061758,0.9964253864002265,154
z0,soft_mode_gap_6_5,0.9972427096441394,0.9944930219383854,154
z1,trajectory_progress,0.9999389828535798,0.9998779694302519,154
z1,p_ratio,-0.6968931269476841,0.48566003038692096,153
z1,horizontal_strain,-0.9999633544342948,0.9999267102114872,154
z1,x_compression,0.9999633544342948,0.9999267102114872,154
z1,vertical_strain,-0.998851987990312,0.9977052939121985,154
z1,mean_abs_x_disp,0.9999239046108193,0.9998478150121468,154
z1,mean_abs_y_disp,0.9996778712246078,0.9993558462161636,154
z1,mean_x_disp,-0.999939432510458,0.9998788686893368,154
z1,mean_y_disp,0.999446566547918,0.9988934393844219,154
z1,rms_disp,0.9998655740524491,0.9997311661752336,154
z1,max_node_disp,0.9997763071508491,0.999552664340189,154
z1,lambda5,-0.9980801862409837,0.9961640581668367,154
z1,lambda6,-0.9982003760948915,0.996403990835983,154
z1,soft_mode_gap_6_5,-0.9972304438160464,0.994468558073549,154
