dataset,epoch,train_mse_norm,val_mse_norm
one-system CV2 train-sim-0,1,0.5624699965119362,0.5454963771253825
one-system CV2 train-sim-0,2,0.26529188714921476,1.4162005791254342
one-system CV2 train-sim-0,3,0.15051979515701533,1.207201740348246
one-system CV2 train-sim-0,4,0.12338378317654133,1.0558650361327455
one-system CV2 train-sim-0,5,0.10823273211717606,1.2049154783552511
one-system CV2 train-sim-0,6,0.0936960743740201,1.015076156766154
one-system CV2 train-sim-0,7,0.08029202669858933,1.2154264238243924
one-system CV2 train-sim-0,8,0.07031319551169872,0.9912241765717045
one-system CV2 train-sim-0,9,0.06570118572562933,1.2102643225598149
one-system CV2 train-sim-0,10,0.05940447747707367,1.1567800830234773
one-system CV2 train-sim-0,11,0.04981296760961414,1.3943807372706942
one-system CV2 train-sim-0,12,0.04979194737970829,1.2712513279914857
one-system CV2 train-sim-0,13,0.042885723616927864,1.1346519535337576
one-system CV2 train-sim-0,14,0.039498336240649225,1.2316094755963423
one-system CV2 train-sim-0,15,0.03685250775888562,1.2333911959663966
one-system CV2 train-sim-0,16,0.03522541429847479,1.1605236444133333
one-system CV2 train-sim-0,17,0.03632605993188918,1.3297883273218758
one-system CV2 train-sim-0,18,0.034590490907430646,1.4126082987361588
one-system CV2 train-sim-0,19,0.030216754134744405,1.3478482251311652
one-system CV2 train-sim-0,20,0.028588681342080237,1.285181395637337
one-system CV2 train-sim-0,21,0.024684075685217976,1.058470742162317
one-system CV2 train-sim-0,22,0.029855042416602372,1.533256509678904
one-system CV2 train-sim-0,23,0.02694529127329588,1.1729429451818578
one-system CV2 train-sim-0,24,0.02451314451172948,1.3439076094212943
one-system CV2 train-sim-0,25,0.01746126669459045,1.16772427452961
one-system CV2 train-sim-0,26,0.015316831856034696,1.2929592671524732
