target,descriptor,standardized_weight,target_r2
mean_z0,node_count,-0.11151236654434606,0.9730184994798117
mean_z0,edge_count,-1.0011292273624415,0.9730184994798117
mean_z0,edge_density,0.5463440881463895,0.9730184994798117
mean_z0,mean_degree,0.0717178015623507,0.9730184994798117
mean_z0,std_degree,0.03224014234553359,0.9730184994798117
mean_z0,max_degree,-0.012944376872072528,0.9730184994798117
mean_z0,x_span0,0.29212907694203416,0.9730184994798117
mean_z0,y_span0,0.3442160112074414,0.9730184994798117
mean_z0,aspect_ratio0,0.008199347079753937,0.9730184994798117
mean_z0,edge_len_mean,-0.6654068557480928,0.9730184994798117
mean_z0,edge_len_std,1.372692520766931,0.9730184994798117
mean_z0,edge_len_min,-0.6032933999607697,0.9730184994798117
mean_z0,edge_len_max,-0.09726420455438199,0.9730184994798117
mean_z0,stiffness_mean,0.2843509911785368,0.9730184994798117
mean_z0,stiffness_std,-0.653728120479643,0.9730184994798117
mean_z0,stiffness_min,0.10668866504449113,0.9730184994798117
mean_z0,stiffness_max,-0.1748363390739473,0.9730184994798117
final_z0,node_count,-0.021081377237040167,0.974194834079527
final_z0,edge_count,-1.0463113772894028,0.974194834079527
final_z0,edge_density,0.5298841059702877,0.974194834079527
final_z0,mean_degree,0.07665723697009026,0.974194834079527
final_z0,std_degree,0.02829494989980692,0.974194834079527
final_z0,max_degree,-0.010276069802135558,0.974194834079527
final_z0,x_span0,0.39782675218370095,0.974194834079527
final_z0,y_span0,0.2326875481275667,0.974194834079527
final_z0,aspect_ratio0,0.005097193875610026,0.974194834079527
final_z0,edge_len_mean,-0.6248402231736178,0.974194834079527
final_z0,edge_len_std,1.2764421217231487,0.974194834079527
final_z0,edge_len_min,-0.6252346222375814,0.974194834079527
final_z0,edge_len_max,-0.08064529104710315,0.974194834079527
final_z0,stiffness_mean,0.2844451740559884,0.974194834079527
final_z0,stiffness_std,-0.6749689445417064,0.974194834079527
final_z0,stiffness_min,0.11752052036454551,0.974194834079527
final_z0,stiffness_max,-0.18379742495821624,0.974194834079527
slope_z0,node_count,0.06776431420566548,0.9743621523361392
slope_z0,edge_count,-1.0914806172601415,0.9743621523361392
