split,sim_idx,frame,horizontal_strain,p_ratio
train,0,0,0.0,
train,0,1,-6.195578970571251e-05,0.14456521739130435
train,0,2,-0.00012259203419456909,0.049198151671649905
train,0,3,-0.00018184589798005276,-0.043256997455470736
train,0,4,-0.00024053424238688388,-0.10947109471094711
train,0,5,-0.0002998509416588845,-0.15971538040503558
train,0,6,-0.00035841361509268173,-0.19484790353521514
train,0,7,-0.00041710195949951285,-0.22321498550043106
train,0,8,-0.00047641865877151346,-0.24606934431857191
train,0,9,-0.0005350441676918276,-0.264
train,0,10,-0.0005943608669638283,-0.2799691918358365
train,0,11,-0.0006529863758841424,-0.29319921933643595
train,0,12,-0.0007123030751561431,-0.3051080820597549
train,0,13,-0.0007709285840764572,-0.3147119908447421
train,0,14,-0.0008295540929967713,-0.32453929752716965
train,0,15,-0.000888870792268772,-0.33252462873106897
train,0,16,-0.0009474963011890862,-0.3401585660117201
train,0,17,-0.0010061218101094004,-0.3468990361211177
train,0,18,-0.001065438509381401,-0.35302412556328744
train,0,19,-0.0011241268537882322,-0.35881942830583313
train,0,20,-0.0011826895272220293,-0.36364890974330666
train,0,21,-0.001240686681277174,-0.36874901404006943
train,0,22,-0.0013000033805491745,-0.373111099954817
train,0,23,-0.0013580005346043192,-0.3774944168287587
train,0,24,-0.0014166260435246334,-0.3812197928653625
train,0,25,-0.0014752515524449476,-0.3848873177198409
train,0,26,-0.0015332487065000922,-0.38826679132227016
train,0,27,-0.0015918742154204064,-0.39141910139945985
train,0,28,-0.0016505625598272377,-0.39434174443151104
train,0,29,-0.0017091252332610348,-0.3971655523172753
train,0,30,-0.001766431196964493,-0.4001104972375691
train,0,31,-0.0018251195413713241,-0.4023097075439753
train,0,32,-0.0018831166954264688,-0.4047890339064982
train,0,33,-0.001941742204346783,-0.40685059934373535
train,0,34,-0.001999048168050241,-0.4091743715571733
train,0,35,-0.0020577365124570726,-0.41113233460148074
train,0,36,-0.0021156708310257,-0.4131008656148321
train,0,37,-0.002173667985080845,-0.4149517636868672
train,0,38,-0.0022316651391359895,-0.4167345276872964
train,0,39,-0.002289599457704617,-0.41854270858422
train,0,40,-0.0023475966117597617,-0.42006022764946405
train,0,41,-0.0024055937658149064,-0.42171223739000363
train,0,42,-0.002463590919870051,-0.423010642356315
train,0,43,-0.0025222164287903655,-0.42460490813311064
train,0,44,-0.002579522392493824,-0.4259059290324201
train,0,45,-0.0026375195465489685,-0.4273068801257182
train,0,46,-0.002695516700604113,-0.42856971283763495
train,0,47,-0.0027534510191727407,-0.42980394000658234
train,0,48,-0.0028114481732278854,-0.43100154225076537
train,0,49,-0.00286944532728303,-0.43212924755913323
train,0,50,-0.0029267512909864884,-0.4333727392250666
train,0,51,-0.002984748445041633,-0.4343074390191066
train,0,52,-0.0030427455990967777,-0.43547770294673777
train,0,53,-0.0031006799176654053,-0.43644474090132157
train,0,54,-0.003158739907207067,-0.43742520176344835
train,0,55,-0.0032166742257756947,-0.4384044508269982
train,0,56,-0.0032746713798308394,-0.43936046396938433
train,0,57,-0.0033319773435342977,-0.44035505940267844
train,0,58,-0.0033899744975894423,-0.4411168141087294
train,0,59,-0.00344790881615807,-0.44212802606204715
train,0,60,-0.0035052776153480453,-0.4427619345692877
train,0,61,-0.0035639031242683593,-0.44362256907978126
train,0,62,-0.0036212090879718176,-0.4443306223888973
train,0,63,-0.003678515051675276,-0.4451798409790222
train,0,64,-0.003737203396082107,-0.44583948156393727
train,0,65,-0.0037951377146507345,-0.4465326513619603
