dataset,split,sim_idx,target_index,rollout_steps,pred_p_ratio,true_p_ratio,final_pos_mse,initial_to_target_mse,pred_to_initial_mse,movement_fraction_mse
one-system CV2 train-sim-0,train,0,10,10,-0.4610966339259556,-0.2799691918358365,0.00018240456120111048,4.493631877267035e-06,0.00024074364046100527,53.574401961787366
one-system CV2 train-sim-0,val,0,10,10,-0.4290216554679537,-0.10762643831950762,9.555795259075239e-05,5.285899533191696e-06,0.0001393226266372949,26.357411025776734
one-system CV2 train-sim-0,val,1,10,10,-0.45020142734281876,0.1381307728435005,0.0002031682524830103,4.597909082804108e-06,0.0002566128969192505,55.8107810089083
one-system CV2 train-sim-0,val,2,10,10,-0.484406510819895,-0.24987958255284987,0.00019887620874214917,4.641675332095474e-06,0.0002597243001218885,55.95486145400793
one-system CV2 train-sim-0,val,3,10,10,-0.46521668105761826,0.15119092424323888,0.00019490468548610806,4.191738298686687e-06,0.0002429438172839582,57.957773117676474
one-system CV2 train-sim-0,val,4,10,10,-0.4552423478349115,0.07406601772798956,0.0001870113192126155,4.122402060602326e-06,0.0002367094566579908,57.420274194071474
one-system CV2 train-sim-0,val,5,10,10,-0.464219273223366,0.35607641676031465,0.00014980258129071444,4.57740588899469e-06,0.0001858036412158981,40.59147161553224
one-system CV2 train-sim-0,val,6,10,10,-0.44775234723232066,-0.23217643172925453,0.00017481482063885778,5.057063390268013e-06,0.0002351234870729968,46.494075499523404
one-system CV2 train-sim-0,val,7,10,10,-0.46667461705623575,-0.2135709818636648,0.00026482201064936817,4.4625676309806295e-06,0.000333882198901847,74.81840646714812
one-system CV2 train-sim-0,val,8,10,10,-0.4444421984597037,0.17189362915349127,0.00010340914013795555,4.4885459828947205e-06,0.00014019475202076137,31.23389011832023
one-system CV2 train-sim-0,val,9,10,10,-0.46152987781063437,-0.3123163089890756,0.00012781273107975721,4.926108431391185e-06,0.00017829646822065115,36.19418262993824
one-system CV2 train-sim-0,val,10,10,10,-0.46521807589356007,-0.04125767676237468,9.537941514281556e-05,4.885444468527567e-06,0.00013620599929708987,27.879960600215615
one-system CV2 train-sim-0,val,11,10,10,-0.4528573286090433,0.3409694908047199,0.00017816273611970246,4.5998285713722e-06,0.00021952077804598957,47.723686793941354
one-system CV2 train-sim-0,val,12,10,10,-0.4632770793869468,0.1416343669250646,0.00023435086768586189,4.2566898628138006e-06,0.000288215815089643,67.708906304751
one-system CV2 train-sim-0,val,13,10,10,-0.4412020164937007,-0.000530307047780665,0.00013364508049562573,4.379174697533017e-06,0.0001789337838999927,40.860161162511744
one-system CV2 train-sim-0,val,14,10,10,-0.42659524843571556,0.06151797603195739,0.00017088951426558197,4.166170583630446e-06,0.0002191666280850768,52.60625403727291
one-system CV2 train-sim-0,val,15,10,10,-0.4806860563512709,-0.21154468039236823,0.00018489813373889774,4.613383225660073e-06,0.0002431931352475658,52.714704881853876
one-system CV2 train-sim-0,val,16,10,10,-0.4513692525202852,0.18927260150055872,0.00020659068832173944,4.489664661377901e-06,0.0002568113850429654,57.20057162668997
one-system CV2 train-sim-0,val,17,10,10,-0.45739427212162476,0.17572879135276778,0.00015901215374469757,4.113865543331485e-06,0.00020208544447086751,49.12300665694945
one-system CV2 train-sim-0,val,18,10,10,-0.4354213527444161,0.07355939478484816,0.00016530971333850175,4.180932137387572e-06,0.00021256257605273277,50.840953420868274
one-system CV2 train-sim-0,val,19,10,10,-0.46661754533698235,-0.07491702228544334,0.00020321705960668623,4.519372851063963e-06,0.0002616098790895194,57.886323547730846
one-system CV2 train-sim-0,test,0,10,10,-0.46607110325423223,-0.10280618935221611,0.00025887752417474985,4.5211736505734734e-06,0.00032560655381530523,72.01814815805731
one-system CV2 train-sim-0,test,1,10,10,-0.4703360504460166,-0.2833164597431662,0.00011716862354660407,5.215643795963842e-06,0.00016744663298595697,32.104691105542244
one-system CV2 train-sim-0,test,2,10,10,-0.4475982857653046,0.34476316078689967,0.00021450476197060198,4.443535544851329e-06,0.00025943104992620647,58.38392588685514
one-system CV2 train-sim-0,test,3,10,10,-0.4416731988883346,-0.284759576202119,9.441535075893626e-05,4.630732746591093e-06,0.00013655466318596154,29.488780860110325
one-system CV2 train-sim-0,test,4,10,10,-0.4655989885154357,0.16661440367931432,0.00018057115084957331,4.459104729903629e-06,0.0002281927881995216,51.174574723310734
one-system CV2 train-sim-0,test,5,10,10,-0.4317665293404325,0.06534791465637396,0.00017564209701959044,4.350496055849362e-06,0.00022577664640266448,51.89675924406403
one-system CV2 train-sim-0,test,6,10,10,-0.441446199644692,-0.18261242429115077,0.00024659119662828743,4.502959654928418e-06,0.00031293529900722206,69.49547031022571
one-system CV2 train-sim-0,test,7,10,10,-0.4419760470514518,-0.26468071451492137,0.00022873407579027116,4.651697508961661e-06,0.0002946924068965018,63.3515843041742
one-system CV2 train-sim-0,test,8,10,10,-0.43583953125408714,-0.2992740275219417,0.00013527034025173634,4.493335381994257e-06,0.0001850726257544011,41.18825104754614
one-system CV2 train-sim-0,test,9,10,10,-0.4678828803268456,0.0917495296963182,0.00023495408822782338,4.224469648761442e-06,0.0002913811767939478,68.97461717576238
one-system CV2 train-sim-0,test,10,10,10,-0.4383772351470871,0.1554577278031187,0.00016336646513082087,4.427062322065467e-06,0.00020972589845769107,47.37360425498651
one-system CV2 train-sim-0,test,11,10,10,-0.46073119504467624,0.2161593860064133,0.00023419821809511632,4.444396381586557e-06,0.0002860899840015918,64.37094251693716
one-system CV2 train-sim-0,test,12,10,10,-0.4368306257521059,-0.22732872676629706,0.0001980865199584514,4.600519332598196e-06,0.0002587590424809605,56.2456157172202
one-system CV2 train-sim-0,test,13,10,10,-0.43427498840445267,-0.25489780790003175,0.00021974946139380336,4.927477675664704e-06,0.0002867087605409324,58.1857046165625
one-system CV2 train-sim-0,test,14,10,10,-0.4486212484047206,-0.049740007353327384,0.0002272564743179828,4.319038907851791e-06,0.0002874128695111722,66.54556155738035
one-system CV2 train-sim-0,test,15,10,10,-0.4767205957883924,-0.20887895241137017,0.0002874304773285985,4.4307930693321396e-06,0.00035846367245540023,80.90282413243732
one-system CV2 train-sim-0,test,16,10,10,-0.42108154245294976,-0.13353226408056695,0.00014970728079788387,4.443779744178755e-06,0.000200388822122477,45.09422916043072
one-system CV2 train-sim-0,test,17,10,10,-0.46742229939623725,0.35099195710455766,0.0001913083833642304,4.62820707980427e-06,0.00023374524607788771,50.50449170648885
one-system CV2 train-sim-0,test,18,10,10,-0.456342493306515,0.34995737425404944,0.0002791662118397653,4.711127530754311e-06,0.0003315864596515894,70.38367301394157
one-system CV2 train-sim-0,test,19,10,10,-0.4706223895413085,-0.18202621177449552,0.00011730378901120275,4.692509719461668e-06,0.0001639497495489195,34.93860627905701
one-system CV2 train-sim-0,test,20,10,10,-0.48677754677754675,-0.2491307015749642,9.280574158765376e-05,5.615087047772249e-06,0.00013885373482480645,24.728687844633825
one-system CV2 train-sim-0,test,21,10,10,-0.4611062873486899,-0.1766964755391899,0.00021172844571992755,4.576653736876324e-06,0.00027388124726712704,59.84312185567649
one-system CV2 train-sim-0,test,22,10,10,-0.47607156140177764,0.1921562366964666,0.00020751735428348184,4.347734375187429e-06,0.00025607342831790447,58.898130893027535
one-system CV2 train-sim-0,test,23,10,10,-0.46292067984113455,-0.03815679733110926,0.00017608384951017797,4.557459760690108e-06,0.00022945493401493877,50.34711134348969
one-system CV2 train-sim-0,test,24,10,10,-0.4645773904888437,0.3399713238808348,0.00012655911268666387,4.857989097217796e-06,0.00016203756968025118,33.35486482936967
one-system CV2 train-sim-0,test,25,10,10,-0.4863381664837387,-0.19479267116682739,0.00011505206202855334,4.824080860998947e-06,0.0001616332883713767,33.50550976003053
one-system CV2 train-sim-0,test,26,10,10,-0.48587041158757177,-0.201571792693288,0.00024695383035577834,4.43101907876553e-06,0.00031268407474271953,70.56707930714495
one-system CV2 train-sim-0,test,27,10,10,-0.46032276438200115,0.35564430244941425,0.000209519435884431,4.683282895712182e-06,0.00025365082547068596,54.16090189702571
one-system CV2 train-sim-0,test,28,10,10,-0.4550246691036533,-0.23328531028226882,0.00021933556126896292,4.510494363785256e-06,0.00028262886917218566,62.66028651790631
one-system CV2 train-sim-0,test,29,10,10,-0.44727410782080484,0.017931764083575774,0.00020268290245439857,4.090886704943841e-06,0.00025560459471307695,62.48146505846238
one-system CV2 train-sim-0,test,30,10,10,-0.46304270316228296,0.21260553284128922,0.00026353428256697953,4.389165496831993e-06,0.0003181096981279552,72.47612293443026
one-system CV2 train-sim-0,test,31,10,10,-0.443855995239512,0.06190721649484536,0.0001494745083618909,4.5718206820311025e-06,0.0001976568892132491,43.23373617651096
one-system CV2 train-sim-0,test,32,10,10,-0.4790687740281931,-0.01530692756824996,0.00011644460028037429,4.454963800526457e-06,0.0001593638735357672,35.77220392159745
one-system CV2 train-sim-0,test,33,10,10,-0.44876953736437425,0.34798359171061743,0.00020676497661042958,4.612251359503716e-06,0.00025129891582764685,54.48508683505205
one-system CV2 train-sim-0,test,34,10,10,-0.4440883849277268,0.2169627383015598,0.0002561072469688952,4.2075962483068e-06,0.00030983120086602867,73.63615294378813
one-system CV2 train-sim-0,test,35,10,10,-0.4589282638454495,0.40160707544626006,0.00014107234892435372,4.743530553241726e-06,0.0001754667900968343,36.990757860075426
one-system CV2 train-sim-0,test,36,10,10,-0.44392242715437075,0.020159796814646278,0.00011372559674782678,4.117318894714117e-06,0.0001537380157969892,37.33935109917297
one-system CV2 train-sim-0,test,37,10,10,-0.46106841959077866,0.17448869752421958,0.00027508483617566526,4.257786713424139e-06,0.0003317090740893036,77.90645619788246
one-system CV2 train-sim-0,test,38,10,10,-0.451236676639295,0.029396352965835256,0.00023536283697467297,4.388479737826856e-06,0.0002946388558484614,67.13916286517127
one-system CV2 train-sim-0,test,39,10,10,-0.47494800893476086,-0.2599438589057783,0.00011173660459462553,4.864566108153667e-06,0.00015843237633816898,32.56865521317821
one-system CV2 train-sim-0,test,40,10,10,-0.4684763667456787,-0.3775104833370117,8.52574230520986e-05,5.373314706957899e-06,0.00012759451055899262,23.74595896900858
one-system CV2 train-sim-0,test,41,10,10,-0.44652381925410256,-0.2614318454654589,0.00022106926189735532,4.485452791413991e-06,0.00028481034678407013,63.496453987711405
one-system CV2 train-sim-0,test,42,10,10,-0.45477288371438934,0.009966049720731575,0.00021172172273509204,4.012563749711262e-06,0.00026612431975081563,66.32276428504483
one-system CV2 train-sim-0,test,43,10,10,-0.4605417577070234,0.3622140699179974,0.00013286981265991926,4.974748208042001e-06,0.0001692504738457501,34.021917646434
one-system CV2 train-sim-0,test,44,10,10,-0.46105443725900963,-0.05836909871244635,0.00020273681730031967,4.47388947577565e-06,0.00026051749591715634,58.23065083028001
one-system CV2 train-sim-0,test,45,10,10,-0.45921524941205594,-0.3880375932168761,0.00010999230289598927,5.457426141219912e-06,0.00015994015848264098,29.306884663928617
one-system CV2 train-sim-0,test,46,10,10,-0.4415097781392273,0.1679548777940255,0.0001977565116249025,4.3102650124637876e-06,0.00024729568394832313,57.37366107031239
one-system CV2 train-sim-0,test,47,10,10,-0.4657612570323364,0.1800157356412274,0.00023986519954632968,4.4699495447275694e-06,0.000294822093565017,65.95647011558954
one-system CV2 train-sim-0,test,48,10,10,-0.4741520467836257,-0.15889386297954328,0.00011307124077575281,4.699278633779613e-06,0.00015811157936695963,33.64592561726672
one-system CV2 train-sim-0,test,49,10,10,-0.4492223117888811,-0.0810443864229765,0.0002668926026672125,4.318894298194209e-06,0.00033243768848478794,76.97286979766669
one-system CV2 train-sim-0,test,50,10,10,-0.4569563223352308,-0.25594980527909994,0.0002481922274455428,4.413369424582925e-06,0.00031507559469901025,71.39116724378579
one-system CV2 train-sim-0,test,51,10,10,-0.4468120380792824,0.21370793787748057,0.00015449838247150183,4.335032826929819e-06,0.00019712813082151115,45.47327291201214
one-system CV2 train-sim-0,test,52,10,10,-0.45318256487137365,-0.2770537948290242,0.0001643012510612607,4.827354132430628e-06,0.0002212815743405372,45.83910114527259
one-system CV2 train-sim-0,test,53,10,10,-0.4534295918445384,-0.15578348190312533,0.00019653835624922067,4.199076556687942e-06,0.00025291016208939254,60.22994786474616
one-system CV2 train-sim-0,test,54,10,10,-0.4437222694629432,0.3382493368700265,0.00016363782924599946,4.592439381667646e-06,0.00020274279813747853,44.14708203809907
one-system CV2 train-sim-0,test,55,10,10,-0.4506537672744265,-0.3869525887298462,0.00014073560305405408,5.192881872062571e-06,0.00019580184016376734,37.705814418227156
one-system CV2 train-sim-0,test,56,10,10,-0.4341791958636642,0.0423343947382158,0.00011253966658841819,4.40247094957158e-06,0.00015260356303770095,34.663161843816674
one-system CV2 train-sim-0,test,57,10,10,-0.42833931491212734,0.02962195753495598,9.935233538271859e-05,4.802416242455365e-06,0.00014043078408576548,29.24169355506895
one-system CV2 train-sim-0,test,58,10,10,-0.47508704963650406,-0.3108108108108108,0.00020566768944263458,4.586298928188626e-06,0.00026796088786795735,58.42638957111969
one-system CV2 train-sim-0,test,59,10,10,-0.4539444195428059,0.3554803216250529,0.00019178212096448988,4.895459369436139e-06,0.00023599025735165924,48.20594750004854
one-system CV2 train-sim-0,test,60,10,10,-0.4884274867344845,-0.180072287856719,0.00021160798496566713,4.479892140807351e-06,0.00027255865279585123,60.84044977625993
one-system CV2 train-sim-0,test,61,10,10,-0.456062002622389,-0.12554806972516308,0.0002801631635520607,4.33555669587804e-06,0.0003483340551611036,80.34355899261485
one-system CV2 train-sim-0,test,62,10,10,-0.47741253667308114,-0.22617621007659042,0.0001784754713298753,4.757584520120872e-06,0.0002365248219575733,49.71531687083178
