dataset,split,rollout_steps,used,p_ratio_r2,p_ratio_pearson,p_ratio_mse,final_pos_mse,initial_to_target_mse,pred_to_initial_mse,movement_fraction_mse
one-system CV2 train-sim-0,train,10,1,,,0.03280715027810945,0.00018240456120111048,4.493631877267035e-06,0.00024074364046100527,53.574401961787366
one-system CV2 train-sim-0,val,10,20,-6.199250426271936,0.262241951796489,0.26272870818709554,0.00017158175323856996,4.527792111730378e-06,0.000221345953468699,49.36888280818441
one-system CV2 train-sim-0,test,10,79,-3.7036394149964194,0.07401525353815915,0.2480298976487836,0.00019129731902731818,4.573596107789692e-06,0.00024418936581115086,54.048663022826396
one-system CV2 train-sim-0,train,20,1,,,0.009322970468355148,0.00013393154949881136,1.9026365407626145e-05,0.0002451842010486871,12.886549574539991
one-system CV2 train-sim-0,val,20,20,-4.202272198642031,0.2828375933931897,0.24634516496491568,0.0001327143494563643,1.8511125017539597e-05,0.00022527318651555106,12.33683747844841
one-system CV2 train-sim-0,test,20,79,-2.4590782499219777,0.07467465710631925,0.23139711240288405,0.0001495516014154971,1.8798994610330702e-05,0.0002485186911904241,13.442298031398126
one-system CV2 train-sim-0,train,30,1,,,0.0035034484247862953,9.426254109712318e-05,4.407133747008629e-05,0.0002495787921361625,5.663063715857631
one-system CV2 train-sim-0,val,30,20,-3.580951994887095,0.2886182422966038,0.24006809496588427,0.00010232078693661606,4.2098657468159216e-05,0.00022925337034394034,5.5324559828956925
one-system CV2 train-sim-0,test,30,79,-2.074155811309964,0.07594521395375818,0.22545194059634086,0.00011641510916635087,4.2881978262375e-05,0.0002528825035035799,6.012261087338267
one-system CV2 train-sim-0,train,40,1,,,0.001469238419869096,6.392694194801152e-05,7.972279854584485e-05,0.00025411645765416324,3.187500467736751
one-system CV2 train-sim-0,val,40,20,-3.269634123534228,0.2908376275412907,0.2363015591751289,8.056171236603404e-05,7.532696836278773e-05,0.00023338332830462604,3.152086512063486
one-system CV2 train-sim-0,test,40,79,-1.8790017298049766,0.07728891297118326,0.2220423133299349,9.211064239428231e-05,7.689074063128379e-05,0.0002574063964627235,3.4190550805423805
one-system CV2 train-sim-0,train,50,1,,,0.0005803039029378012,4.296738188713789e-05,0.00012610366684384644,0.00025882571935653687,2.052483689289063
one-system CV2 train-sim-0,val,50,20,-3.0745215817770406,0.2913705927217054,0.2335211681889764,6.74353234899172e-05,0.00011821762345789466,0.0002376673073740676,2.0473722625796444
one-system CV2 train-sim-0,test,50,79,-1.756878677954452,0.0785294222792152,0.2196218120663613,7.66745225645755e-05,0.00012086083568393877,0.00026210037828570444,2.2176808691683267
one-system CV2 train-sim-0,train,60,1,,,0.00018822727805051676,3.14552744384855e-05,0.00018319286755286157,0.0002636894932948053,1.4394091692391673
one-system CV2 train-sim-0,val,60,20,-2.9372424635680248,0.2908321483475912,0.231257911640064,6.291965055424953e-05,0.00017079223835025914,0.00024208739996538496,1.4445757743772705
one-system CV2 train-sim-0,test,60,79,-1.6700115300594893,0.07950357747578109,0.2176902120361886,7.009563622760433e-05,0.00017482504713543562,0.00026694490832919135,1.5630067346524927
one-system CV2 train-sim-0,train,70,1,,,2.8630704117307756e-05,2.938039142463822e-05,0.0002510483027435839,0.0002686895604711026,1.0702703724133007
one-system CV2 train-sim-0,val,70,20,-2.830740820060927,0.2894571459047634,0.2292442579202177,6.699635659970226e-05,0.00023306480143219231,0.00024663232325110583,1.0791152877340076
one-system CV2 train-sim-0,test,70,79,-1.6029321639061203,0.08034587998355981,0.2160150939243123,7.23653342729564e-05,0.00023879695542251006,0.000271925414231594,1.1665469006550924
one-system CV2 train-sim-0,train,80,1,,,1.7171916150785844e-06,3.675419065984897e-05,0.0003297053917776793,0.0002738247567322105,0.830513432782594
one-system CV2 train-sim-0,val,80,20,-2.7443414491127713,0.2880433552702969,0.22743491515252026,7.966274624777725e-05,0.00030506393231917174,0.0002513106526748743,0.8404919475861903
one-system CV2 train-sim-0,test,80,79,-1.5484512268763013,0.08106173278304431,0.21448804581132747,8.347871758653841e-05,0.0003128088911246697,0.0002770486889743022,0.9079057129505782
one-system CV2 train-sim-0,train,90,1,,,5.303820098814723e-05,5.356359179131687e-05,0.00041918031638488173,0.000279115280136466,0.6658597010079758
one-system CV2 train-sim-0,val,90,20,-2.670387304662502,0.28646938369897956,0.22569699511349292,0.00010088759245263645,0.00038679497665725646,0.0002561392837378662,0.6759192672489894
one-system CV2 train-sim-0,test,90,79,-1.5018802907301017,0.08165320942200129,0.2130715532551769,0.00010342829773435369,0.00039687184167471774,0.000282333208700418,0.729651783705559
one-system CV2 train-sim-0,train,100,1,,,0.00015752312454895225,7.982046372490004e-05,0.0005195323610678315,0.00028457093867473304,0.5477443947665441
one-system CV2 train-sim-0,val,100,20,-2.6050685740568515,0.28465679465455695,0.22405376443610278,0.0001306661684793653,0.0004782689386047423,0.00026112035557162016,0.5574871137140952
one-system CV2 train-sim-0,test,100,79,-1.4609973673536074,0.08217662240479393,0.21171755660685168,0.00013219818563673562,0.0004910129038440182,0.0002877831750452118,0.601432053659829
