split,sim_idx,final_p_ratio,mean_frame_p_ratio,frames,mean_z0,final_z0,slope_z0,range_z0,mean_z1,final_z1,slope_z1,range_z1,mean_z0_aligned,final_z0_aligned,slope_z0_aligned,range_z0_aligned,mean_z1_aligned,final_z1_aligned,slope_z1_aligned,range_z1_aligned
train,0,-0.4807224091848549,-0.4223225353569208,154,0.6404483790461022,1.2407605648040771,1.2460007825866342,1.2460007825866342,0.5595389189585657,1.1225109100341797,1.1685919761657715,1.1685919761657715,0.9811568191976524,1.8779631031867114,1.8565948977913935,1.8565948977913935,-0.14891098497750568,1.763274219493157,3.949651993295994,3.949651993295994
val,1,-0.20260149053372217,-0.16914424213075974,115,0.9744829725798058,1.9265327453613281,1.9415153618901968,1.9415153618901968,0.8631841165540011,1.7546149492263794,1.8176915496587753,1.8176915496587753,1.9712736115047678,3.465081098609534,3.0567240126392625,3.0567240126392625,2.883059919927999,6.202320846166291,6.8106529798420254,6.8106529798420254
val,2,0.12600592325434534,0.1304144776781264,155,1.4524505973102586,2.837231159210205,2.777526091784239,2.777526091784239,1.3041742791451754,2.5975592136383057,2.594199702143669,2.594199702143669,3.055590508138936,5.393085756255195,4.688917915891771,4.688917915891771,5.8893431612664,11.377341875827252,11.009497286912465,11.009497286912465
val,3,-0.45584325610126514,-0.3980884248650355,158,0.692255028488138,1.3160955905914307,1.2872417345643044,1.2872417345643044,0.601899838605542,1.182997226715088,1.199840934947133,1.199840934947133,1.3765147100916337,2.50974845496463,2.2976567564203303,2.2976567564203303,1.2902666452679898,4.08396761261203,5.601571770658241,5.601571770658241
val,4,0.1278935707687713,0.13542706531169862,157,1.4484225787269842,2.848801851272583,2.8104203529655933,2.8104203529655933,1.2999478913487712,2.607983112335205,2.6250619757920504,2.6250619757920504,3.0725093920282314,5.432191902449379,4.737339362521045,4.737339362521045,5.9684239991508,11.50163889633571,11.111393622318074,11.111393622318074
val,5,0.026206553415310255,0.04223553753516065,154,1.3052680262836156,2.5379178524017334,2.4799825586378574,2.4799825586378574,1.169267855161293,2.3209192752838135,2.317003194242716,2.317003194242716,2.6762442687541066,4.738725778226334,4.150436310917348,4.150436310917348,4.781484863071031,9.593570637655265,9.685120885453244,9.685120885453244
val,6,0.3630376812533941,0.36090593480333716,133,1.4667792071525316,2.8501477241516113,2.7728656232357025,2.7728656232357025,1.3180837379558419,2.6100432872772217,2.5898122508078814,2.5898122508078814,3.0528748460743347,5.393429743528477,4.682817572584727,4.682817572584727,5.838325087431276,11.342539812279657,10.998106170469807,10.998106170469807
val,7,-0.3942740135525513,-0.34497316324831706,149,0.6390341331482233,1.2256929874420166,1.2207991061732173,1.2207991061732173,0.5561350853176125,1.1054699420928955,1.1434599980711937,1.1434599980711937,1.0851917717741215,2.0041644201658344,1.8954766083642065,1.8954766083642065,0.27194319107403664,2.3111985314465553,4.17605247816152,4.17605247816152
val,8,-0.3943129812633864,-0.3474931732544245,184,0.6878419695422053,1.308569073677063,1.282015960663557,1.282015960663557,0.6020451342514919,1.1807583570480347,1.195979448966682,1.195979448966682,1.151048723920931,2.252264473119171,2.2367526142106287,2.2367526142106287,0.3991323271134052,3.0732506741518133,5.372152300562719,5.372152300562719
val,9,0.1672963915372404,0.16953626122492566,113,1.5066754441477557,2.9771525859832764,2.9457143284380436,2.9457143284380436,1.3512143339236489,2.723569869995117,2.749106027185917,2.749106027185917,3.331358693250301,5.868177808967236,5.084275098742778,5.084275098742778,6.842522866657493,12.889215509371116,12.12267640775168,12.12267640775168
val,10,-0.4575559254783025,-0.40794115867100134,124,0.6422237004904497,1.197757363319397,1.1526232063770294,1.1526232063770294,0.5659508231967207,1.0833485126495361,1.0741536486893892,1.0741536486893892,0.7412719445069733,1.7541492591916472,2.0680509525164084,2.0680509525164084,-1.115159441105344,1.3875787418415406,5.058565874516047,5.058565874516047
val,11,-0.08124782558274382,-0.06486879166177072,113,1.1388392630074404,2.208449125289917,2.1592341400682926,2.1592341400682926,1.0188266919777456,2.0183818340301514,2.017803540453315,2.017803540453315,2.1396832875664282,3.917603286410442,3.5896346558734837,3.5896346558734837,3.097540167057174,7.226010578205855,8.336301793707085,8.336301793707085
val,12,0.34363610284625656,0.34334147125740216,146,1.43990472160688,2.832026243209839,2.7885170467197895,2.7885170467197895,1.2902050388543165,2.588933229446411,2.6016471199691296,2.6016471199691296,3.1494427128434253,5.57664271159819,4.851456250972133,4.851456250972133,6.3005733828362676,12.127477607020566,11.630040275306328,11.630040275306328
val,13,0.10598580935001119,0.11691103811089049,170,1.360470195925411,2.653620481491089,2.601016443222761,2.601016443222761,1.2195259174222455,2.4273836612701416,2.4293818958103657,2.4293818958103657,2.835884142400101,5.015873808498853,4.388815791200386,4.388815791200386,5.266573296007226,10.380074712443843,10.301336837525728,10.301336837525728
val,14,-0.02043953611353658,-0.011246351771461119,130,1.2585670435228027,2.481473922729492,2.458455177024007,2.458455177024007,1.1284655896302027,2.271557092666626,2.297931458801031,2.297931458801031,2.453513845125201,4.4719596422702335,4.0612258001013775,4.0612258001013775,4.019765008826968,8.682680137161196,9.387933401971008,9.387933401971008
val,15,0.0034385083193314795,0.021682816687788348,146,1.215393978796185,2.3768904209136963,2.3428802266716957,2.3428802266716957,1.0835879428873527,2.168534755706787,2.188351659104228,2.188351659104228,2.613314196309206,4.568327400182744,3.9495607268237714,3.9495607268237714,4.781054713008718,9.361796745657198,9.264201163367854,9.264201163367854
val,16,-0.3836751706292006,-0.33312325900010376,154,0.8422527020772943,1.6143569946289062,1.5794408023357391,1.5794408023357391,0.7448010004137631,1.4653972387313843,1.474455427378416,1.474455427378416,1.4864789975888235,2.817838468418928,2.703998397219905,2.703998397219905,1.3107621758127534,4.483099413824677,6.411402325698299,6.411402325698299
val,17,0.17635764572024556,0.18092296599943572,158,1.5290351425875215,2.992690086364746,2.9342620112001896,2.9342620112001896,1.373408871243083,2.74017071723938,2.740023138001561,2.740023138001561,3.302140670883345,5.787681570816538,4.982502025000846,4.982502025000846,6.662807718701053,12.523125995495825,11.746926559371538,11.746926559371538
val,18,0.16176244715164548,0.16723544768352386,137,1.5130954777454808,2.9513282775878906,2.8832919150590897,2.8832919150590897,1.3615711355704243,2.7056362628936768,2.6945017892867327,2.6945017892867327,3.119406887768902,5.5085128325245005,4.7899514442052284,4.7899514442052284,5.975198575494238,11.520288898195432,11.118102681196758,11.118102681196758
val,19,0.03700541385993479,0.04922064633366856,143,1.3458685920528182,2.626073122024536,2.571747023612261,2.571747023612261,1.2112521001144305,2.4074931144714355,2.403005165979266,2.403005165979266,2.5371720838302916,4.671060640809797,4.290314152923065,4.290314152923065,4.110463649019684,9.075489249770957,9.988603771566464,9.988603771566464
val,20,-0.1613288408896635,-0.13441436947423685,158,1.1080308153140772,2.1235156059265137,2.0613872073590755,2.0613872073590755,0.9919829135053332,1.9404977560043335,1.9255744460970163,1.9255744460970163,1.9890033620546452,3.7004677687213383,3.4673912433172016,3.4673912433172016,2.5800272838246645,6.593803737834758,8.120521809870366,8.120521809870366
test,21,-0.2291252278516337,-0.19493762668054015,177,1.018663406561492,1.9591538906097412,1.9058017544448376,1.9058017544448376,0.9071449661090717,1.7858421802520752,1.7808224372565746,1.7808224372565746,1.9080873663313829,3.4813616903574105,3.175907936344556,3.175907936344556,2.506104128982473,6.176186172521291,7.388288386182095,7.388288386182095
test,22,-0.4346220503932809,-0.38237674535933847,121,0.661338286027928,1.2927279472351074,1.2949529830366373,1.2949529830366373,0.5783929195686066,1.1686949729919434,1.211084295064211,1.211084295064211,1.0499953247067237,2.085928280539098,2.1042053261066345,2.1042053261066345,0.06842666500936884,2.4510745519681354,4.804766059556675,4.804766059556675
test,23,0.3480696477983587,0.3472170812212601,164,1.4193667554092118,2.79559326171875,2.7568443454802036,2.7568443454802036,1.2676591491780993,2.5513126850128174,2.5716599132865667,2.5716599132865667,3.286621224618621,5.698676076683977,4.818680767096941,4.818680767096941,6.907808988070938,12.718546434862908,11.58741932205417,11.58741932205417
