case,case_short,dataset,sim_idx,epoch,train_mse_norm
selected trajectory sim 56,selected,selected CV2 sim-56,56,1,0.5807885080575943
selected trajectory sim 56,selected,selected CV2 sim-56,56,2,0.14104798378852698
selected trajectory sim 56,selected,selected CV2 sim-56,56,3,0.06569673722753158
selected trajectory sim 56,selected,selected CV2 sim-56,56,4,0.03661599368430101
selected trajectory sim 56,selected,selected CV2 sim-56,56,5,0.02830032044305251
selected trajectory sim 56,selected,selected CV2 sim-56,56,6,0.02657814775235378
selected trajectory sim 56,selected,selected CV2 sim-56,56,7,0.024435777145509537
selected trajectory sim 56,selected,selected CV2 sim-56,56,8,0.021484399500947732
selected trajectory sim 56,selected,selected CV2 sim-56,56,9,0.022880982535962876
selected trajectory sim 56,selected,selected CV2 sim-56,56,10,0.020777861372782633
selected trajectory sim 56,selected,selected CV2 sim-56,56,11,0.021295213140547276
selected trajectory sim 56,selected,selected CV2 sim-56,56,12,0.01927562695569717
selected trajectory sim 56,selected,selected CV2 sim-56,56,13,0.018502026724700745
selected trajectory sim 56,selected,selected CV2 sim-56,56,14,0.018257745828192968
selected trajectory sim 56,selected,selected CV2 sim-56,56,15,0.019912173111851398
selected trajectory sim 56,selected,selected CV2 sim-56,56,16,0.028602230147673532
selected trajectory sim 56,selected,selected CV2 sim-56,56,17,0.0221413284396896
selected trajectory sim 56,selected,selected CV2 sim-56,56,18,0.016893888537127238
selected trajectory sim 56,selected,selected CV2 sim-56,56,19,0.013294913376180025
selected trajectory sim 56,selected,selected CV2 sim-56,56,20,0.0123728636938792
selected trajectory sim 56,selected,selected CV2 sim-56,56,21,0.012328074170419803
selected trajectory sim 56,selected,selected CV2 sim-56,56,22,0.015552515916239757
selected trajectory sim 56,selected,selected CV2 sim-56,56,23,0.015568379312753677
selected trajectory sim 56,selected,selected CV2 sim-56,56,24,0.014909136610535475
selected trajectory sim 56,selected,selected CV2 sim-56,56,25,0.010738693034419646
selected trajectory sim 56,selected,selected CV2 sim-56,56,26,0.009406408796516748
selected trajectory sim 56,selected,selected CV2 sim-56,56,27,0.008896827303732816
selected trajectory sim 56,selected,selected CV2 sim-56,56,28,0.007848805461365443
selected trajectory sim 56,selected,selected CV2 sim-56,56,29,0.006551948770021017
selected trajectory sim 56,selected,selected CV2 sim-56,56,30,0.008418528864590021
selected trajectory sim 56,selected,selected CV2 sim-56,56,31,0.009110593129522525
selected trajectory sim 56,selected,selected CV2 sim-56,56,32,0.00981486620954596
selected trajectory sim 56,selected,selected CV2 sim-56,56,33,0.008017492265655445
selected trajectory sim 56,selected,selected CV2 sim-56,56,34,0.00623223941343335
selected trajectory sim 56,selected,selected CV2 sim-56,56,35,0.005804355757740827
selected trajectory sim 56,selected,selected CV2 sim-56,56,36,0.004950792367498462
selected trajectory sim 56,selected,selected CV2 sim-56,56,37,0.005791060196665617
selected trajectory sim 56,selected,selected CV2 sim-56,56,38,0.006902284347094023
selected trajectory sim 56,selected,selected CV2 sim-56,56,39,0.004988357424736023
selected trajectory sim 56,selected,selected CV2 sim-56,56,40,0.0048931235841547065
selected trajectory sim 56,selected,selected CV2 sim-56,56,41,0.0046266559153222125
selected trajectory sim 56,selected,selected CV2 sim-56,56,42,0.004048417035776835
selected trajectory sim 56,selected,selected CV2 sim-56,56,43,0.003872872007867465
selected trajectory sim 56,selected,selected CV2 sim-56,56,44,0.003944366534527104
selected trajectory sim 56,selected,selected CV2 sim-56,56,45,0.0036578379535617735
selected trajectory sim 56,selected,selected CV2 sim-56,56,46,0.0035395770906828917
selected trajectory sim 56,selected,selected CV2 sim-56,56,47,0.004201240192812223
selected trajectory sim 56,selected,selected CV2 sim-56,56,48,0.004367536345783334
selected trajectory sim 56,selected,selected CV2 sim-56,56,49,0.010588702799465794
selected trajectory sim 56,selected,selected CV2 sim-56,56,50,0.010701889028915992
