case,case_short,dataset,sim_idx,epoch,train_dz_mse_norm,train_dz_mse_raw
selected trajectory sim 56,selected,selected CV2 sim-56,56,1,0.5971401517207806,1.227436524249452e-06
selected trajectory sim 56,selected,selected CV2 sim-56,56,2,0.3543942656654578,7.2437389611388e-07
selected trajectory sim 56,selected,selected CV2 sim-56,56,3,0.29010092982879054,5.956727285103206e-07
selected trajectory sim 56,selected,selected CV2 sim-56,56,4,0.25184090779377866,5.145417182243014e-07
selected trajectory sim 56,selected,selected CV2 sim-56,56,5,0.24885314072553927,5.07983782628029e-07
selected trajectory sim 56,selected,selected CV2 sim-56,56,6,0.24093802502522102,4.921082476217774e-07
selected trajectory sim 56,selected,selected CV2 sim-56,56,7,0.23936560176886046,4.884350696206989e-07
selected trajectory sim 56,selected,selected CV2 sim-56,56,8,0.25137392775370526,5.12802699859094e-07
selected trajectory sim 56,selected,selected CV2 sim-56,56,9,0.2454588092290438,5.012171136251289e-07
selected trajectory sim 56,selected,selected CV2 sim-56,56,10,0.24935445877221915,5.090914127182399e-07
selected trajectory sim 56,selected,selected CV2 sim-56,56,11,0.2492425969013801,5.09739603689223e-07
selected trajectory sim 56,selected,selected CV2 sim-56,56,12,0.2317712461719146,4.734148367683352e-07
selected trajectory sim 56,selected,selected CV2 sim-56,56,13,0.24552695338542646,5.010056965532456e-07
selected trajectory sim 56,selected,selected CV2 sim-56,56,14,0.23690680586374724,4.84034232455927e-07
selected trajectory sim 56,selected,selected CV2 sim-56,56,15,0.2372182813974527,4.847223799777986e-07
selected trajectory sim 56,selected,selected CV2 sim-56,56,16,0.2517856164620473,5.143788279418424e-07
selected trajectory sim 56,selected,selected CV2 sim-56,56,17,0.31637278084571546,6.459794340466592e-07
selected trajectory sim 56,selected,selected CV2 sim-56,56,18,0.2341212504185163,4.783024000796734e-07
selected trajectory sim 56,selected,selected CV2 sim-56,56,19,0.25228269627461064,5.150778281841457e-07
selected trajectory sim 56,selected,selected CV2 sim-56,56,20,0.241557858311213,4.940921922542867e-07
selected trajectory sim 56,selected,selected CV2 sim-56,56,21,0.2383161187171936,4.861090882986201e-07
selected trajectory sim 56,selected,selected CV2 sim-56,56,22,0.24747425088515648,5.053836301927871e-07
selected trajectory sim 56,selected,selected CV2 sim-56,56,23,0.23885158105538443,4.872165544174305e-07
selected trajectory sim 56,selected,selected CV2 sim-56,56,24,0.24506909916034111,5.007562676312843e-07
selected trajectory sim 56,selected,selected CV2 sim-56,56,25,0.24276024103164673,4.967615526451342e-07
selected trajectory sim 56,selected,selected CV2 sim-56,56,26,0.23581132063498864,4.816366164015143e-07
selected trajectory sim 56,selected,selected CV2 sim-56,56,27,0.2415059948196778,4.939690180313287e-07
selected trajectory sim 56,selected,selected CV2 sim-56,56,28,0.34765553359801954,7.11647106098868e-07
selected trajectory sim 56,selected,selected CV2 sim-56,56,29,0.24512462833753,5.015201863373547e-07
selected trajectory sim 56,selected,selected CV2 sim-56,56,30,0.2334031118796422,4.762887307116706e-07
selected trajectory sim 56,selected,selected CV2 sim-56,56,31,0.23712433530734137,4.840038529279739e-07
selected trajectory sim 56,selected,selected CV2 sim-56,56,32,0.2291523928825672,4.683792652188528e-07
selected trajectory sim 56,selected,selected CV2 sim-56,56,33,0.25034763664007187,5.116142526381177e-07
selected trajectory sim 56,selected,selected CV2 sim-56,56,34,0.23662446496578363,4.834558922084398e-07
selected trajectory sim 56,selected,selected CV2 sim-56,56,35,0.2394702463195874,4.893414641698585e-07
selected trajectory sim 56,selected,selected CV2 sim-56,56,36,0.23398001090838358,4.780220691075626e-07
selected trajectory sim 56,selected,selected CV2 sim-56,56,37,0.23819339905793852,4.866561581068779e-07
selected trajectory sim 56,selected,selected CV2 sim-56,56,38,0.2427807914522978,4.955977383010927e-07
selected trajectory sim 56,selected,selected CV2 sim-56,56,39,0.23569636276135078,4.816014784235169e-07
selected trajectory sim 56,selected,selected CV2 sim-56,56,40,0.25274874155337995,5.166968151115725e-07
selected trajectory sim 56,selected,selected CV2 sim-56,56,41,0.22597581749925247,4.617581202873785e-07
selected trajectory sim 56,selected,selected CV2 sim-56,56,42,0.32218331499741626,6.579788092153649e-07
selected trajectory sim 56,selected,selected CV2 sim-56,56,43,0.24619131535291672,5.031024425779134e-07
selected trajectory sim 56,selected,selected CV2 sim-56,56,44,0.22804241684766915,4.658153384385654e-07
selected trajectory sim 56,selected,selected CV2 sim-56,56,45,0.2296433036143963,4.6899795418216155e-07
selected trajectory sim 56,selected,selected CV2 sim-56,56,46,0.23599256575107574,4.824984894359939e-07
selected trajectory sim 56,selected,selected CV2 sim-56,56,47,0.2501994331295674,5.115070809307116e-07
selected trajectory sim 56,selected,selected CV2 sim-56,56,48,0.23313915442961913,4.7636965497041763e-07
selected trajectory sim 56,selected,selected CV2 sim-56,56,49,0.23562551232484671,4.814443697726417e-07
selected trajectory sim 56,selected,selected CV2 sim-56,56,50,0.23882761024511778,4.875563807725205e-07
