,initial_z0,initial_z1,final_p_ratio,angle_mean,stiffness_std,angle_std,node_stiffness_std,stiffness_mean,node_stiffness_mean,edge_len_mean,diagonal_edge_len,vertical_edge_len,horizontal_edge_len,vertical_stiffness,horizontal_stiffness
initial_z0,1.0,0.9982269584937625,-0.9887035190879977,-0.9427316268909638,0.9072094651456158,0.9051826932216032,0.8114750906469926,-0.7822963680947999,-0.7739931690720522,0.7655352659323237,0.5928747481244777,0.5744135097059847,0.4953760796475965,-0.4948768293410034,-0.41487943978371555
initial_z1,0.9982269584937625,1.0,-0.9824472976756997,-0.9472523235781061,0.8996132869409968,0.899568860322321,0.8036014957180823,-0.7875331485029174,-0.779731930330742,0.7564746318786646,0.5954610985185511,0.562882996515573,0.49200736657034355,-0.49066312827382663,-0.4271548689738762
final_p_ratio,-0.9887035190879977,-0.9824472976756997,1.0,0.9279455790340652,-0.9321767203214701,-0.9178670315805596,-0.835749148282517,0.724665225586785,0.7168360389694908,-0.7781550105327505,-0.6054600990173991,-0.5784202152484242,-0.48116944148756685,0.4605033581983267,0.3501005385856337
angle_mean,-0.9427316268909638,-0.9472523235781061,0.9279455790340652,1.0,-0.8653026900069316,-0.9156337535337837,-0.7802764656185153,0.7023362080884035,0.6994419031230014,-0.6725645204506033,-0.5766645127586892,-0.503453314227358,-0.40143869841364666,0.4773122342047147,0.3699905015955275
stiffness_std,0.9072094651456158,0.8996132869409968,-0.9321767203214701,-0.8653026900069316,1.0,0.9176681916525338,0.9360700934317662,-0.48173450152997094,-0.4719642539131367,0.7149204777220597,0.6730860437388815,0.45167302939012033,0.3539162397843197,-0.2299473074546268,-0.13703290673714802
angle_std,0.9051826932216032,0.899568860322321,-0.9178670315805596,-0.9156337535337837,0.9176681916525338,1.0,0.8385809426258043,-0.5750801729318239,-0.5710119076684704,0.779412256212804,0.6003869644523289,0.5483237253661324,0.4499667775245412,-0.35442305544270747,-0.21811080613916464
node_stiffness_std,0.8114750906469926,0.8036014957180823,-0.835749148282517,-0.7802764656185153,0.9360700934317662,0.8385809426258043,1.0,-0.3683100562999781,-0.3411871757527734,0.6817202287100878,0.6112284673305565,0.45687996479867243,0.34157699078061365,-0.17322462614948017,-0.14092787753737215
stiffness_mean,-0.7822963680947999,-0.7875331485029174,0.724665225586785,0.7023362080884035,-0.48173450152997094,-0.5750801729318239,-0.3683100562999781,1.0,0.994723549300724,-0.5738807708752,-0.34421505371433714,-0.5061145802000356,-0.49095674862484784,0.6334169626549252,0.7027094704913528
node_stiffness_mean,-0.7739931690720522,-0.779731930330742,0.7168360389694908,0.6994419031230014,-0.4719642539131367,-0.5710119076684704,-0.3411871757527734,0.994723549300724,1.0,-0.556283871953048,-0.32552112731372274,-0.49173093882494684,-0.4756473351513284,0.6339463682877403,0.687957973419062
edge_len_mean,0.7655352659323237,0.7564746318786646,-0.7781550105327505,-0.6725645204506033,0.7149204777220597,0.779412256212804,0.6817202287100878,-0.5738807708752,-0.556283871953048,1.0,0.4583648210861846,0.7941177053252504,0.7801169074888441,-0.35095929335626613,-0.28443053822023745
diagonal_edge_len,0.5928747481244777,0.5954610985185511,-0.6054600990173991,-0.5766645127586892,0.6730860437388815,0.6003869644523289,0.6112284673305565,-0.34421505371433714,-0.32552112731372274,0.4583648210861846,1.0,0.07419572731244506,0.10094365742287438,-0.045988945576312064,0.01896432444263807
vertical_edge_len,0.5744135097059847,0.562882996515573,-0.5784202152484242,-0.503453314227358,0.45167302939012033,0.5483237253661324,0.45687996479867243,-0.5061145802000356,-0.49173093882494684,0.7941177053252504,0.07419572731244506,1.0,0.5141168102949073,-0.42857075085771235,-0.36500215666971775
horizontal_edge_len,0.4953760796475965,0.49200736657034355,-0.48116944148756685,-0.40143869841364666,0.3539162397843197,0.4499667775245412,0.34157699078061365,-0.49095674862484784,-0.4756473351513284,0.7801169074888441,0.10094365742287438,0.5141168102949073,1.0,-0.35524846544166166,-0.3619944913114719
vertical_stiffness,-0.4948768293410034,-0.49066312827382663,0.4605033581983267,0.4773122342047147,-0.2299473074546268,-0.35442305544270747,-0.17322462614948017,0.6334169626549252,0.6339463682877403,-0.35095929335626613,-0.045988945576312064,-0.42857075085771235,-0.35524846544166166,1.0,0.33652948997573434
horizontal_stiffness,-0.41487943978371555,-0.4271548689738762,0.3501005385856337,0.3699905015955275,-0.13703290673714802,-0.21811080613916464,-0.14092787753737215,0.7027094704913528,0.687957973419062,-0.28443053822023745,0.01896432444263807,-0.36500215666971775,-0.3619944913114719,0.33652948997573434,1.0
