dataset,split,rollout_steps,used,p_ratio_r2,p_ratio_pearson,p_ratio_mse,final_pos_mse,initial_to_target_mse,pred_to_initial_mse,movement_fraction_mse,case,case_short,original_sim_idx
selected CV2 sim-56,train,10,1,,,4.839519498372316e-05,1.5392055274787708e-07,4.743530553241726e-06,5.998151209496427e-06,1.2644908981132827,selected trajectory sim 56,selected,56
selected CV2 sim-56,train,20,1,,,4.444390794118802e-05,2.3731379883429327e-07,1.9074381270911545e-05,2.0969668184989132e-05,1.0993629563737357,selected trajectory sim 56,selected,56
selected CV2 sim-56,train,30,1,,,3.237995986706318e-05,4.167131635313126e-07,4.3003165046684444e-05,4.5878234232077375e-05,1.0668571530088946,selected trajectory sim 56,selected,56
selected CV2 sim-56,train,40,1,,,7.662071388120037e-06,5.738459663007234e-07,7.65356671763584e-05,8.061771950451657e-05,1.0533352942328449,selected trajectory sim 56,selected,56
selected CV2 sim-56,train,50,1,,,6.512797096202203e-06,6.766241540390183e-07,0.00011966244346695021,0.0001248182961717248,1.043086640681866,selected trajectory sim 56,selected,56
selected CV2 sim-56,train,60,1,,,6.744633371742776e-06,7.938127168927167e-07,0.0001724054163787514,0.00017991874483413994,1.0435794223476296,selected trajectory sim 56,selected,56
selected CV2 sim-56,train,70,1,,,6.087002693841718e-06,9.684590622782707e-07,0.00023475891794078052,0.00024552608374506235,1.0458647786364303,selected trajectory sim 56,selected,56
selected CV2 sim-56,train,80,1,,,2.319314242616751e-06,1.2258814194865408e-06,0.00030671677086502314,0.0003200488572474569,1.043467092930177,selected trajectory sim 56,selected,56
selected CV2 sim-56,train,90,1,,,1.4381333036595412e-08,1.5752564195281593e-06,0.000388284504879266,0.0004012163553852588,1.0333050903229162,selected trajectory sim 56,selected,56
selected CV2 sim-56,train,99,1,,,4.158057318339241e-06,2.0177658370812424e-06,0.00046994956210255623,0.00047789508244022727,1.016907176808768,selected trajectory sim 56,selected,56
