case_short,original_sim_idx,final_p_ratio,normal_z0,normal_z1,masked_z0,delta_z0,masked_z1,delta_z1
selected,0,-0.4807224091848549,2.3798184394836426,2.3887078762054443,2.332465171813965,-0.047353267669677734,2.3491053581237793,-0.03960251808166504
selected,1,-0.20260149053372217,2.0691208839416504,2.141366481781006,2.0410163402557373,-0.028104543685913086,2.1184537410736084,-0.02291274070739746
selected,2,0.12600592325434534,1.6786644458770752,1.881829857826233,1.6754987239837646,-0.003165721893310547,1.8819283246994019,9.846687316894531e-05
selected,3,-0.45584325610126514,2.2322466373443604,2.265728235244751,2.183687210083008,-0.04855942726135254,2.226632595062256,-0.03909564018249512
selected,4,0.1278935707687713,1.6771665811538696,1.8521969318389893,1.6708695888519287,-0.006296992301940918,1.8494662046432495,-0.002730727195739746
selected,5,0.026206553415310255,1.7547837495803833,1.9173153638839722,1.7538690567016602,-0.0009146928787231445,1.9204127788543701,0.0030974149703979492
selected,6,0.3630376812533941,1.5014723539352417,1.757798433303833,1.5031875371932983,0.0017151832580566406,1.7618944644927979,0.004096031188964844
selected,7,-0.3942740135525513,2.2045180797576904,2.2239458560943604,2.172903060913086,-0.03161501884460449,2.1981630325317383,-0.02578282356262207
selected,8,-0.3943129812633864,2.2593164443969727,2.2897305488586426,2.209181070327759,-0.05013537406921387,2.246429204940796,-0.04330134391784668
selected,9,0.1672963915372404,1.7037585973739624,1.8934723138809204,1.7112442255020142,0.007485628128051758,1.9030723571777344,0.009600043296813965
selected,10,-0.4575559254783025,2.3505442142486572,2.3718745708465576,2.2985713481903076,-0.05197286605834961,2.3281776905059814,-0.04369688034057617
selected,11,-0.08124782558274382,1.964223027229309,2.096078395843506,1.9388983249664307,-0.025324702262878418,2.076756715774536,-0.019321680068969727
selected,12,0.34363610284625656,1.5218403339385986,1.7558822631835938,1.5173205137252808,-0.004519820213317871,1.7538597583770752,-0.0020225048065185547
selected,13,0.10598580935001119,1.7449630498886108,1.9273748397827148,1.7356820106506348,-0.009281039237976074,1.9217839241027832,-0.005590915679931641
selected,14,-0.02043953611353658,1.8979041576385498,2.025320529937744,1.885791540145874,-0.012112617492675781,2.0169055461883545,-0.008414983749389648
selected,15,0.0034385083193314795,1.8147969245910645,1.9699956178665161,1.8035813570022583,-0.011215567588806152,1.9625076055526733,-0.0074880123138427734
selected,16,-0.3836751706292006,2.178492784500122,2.2389376163482666,2.1342735290527344,-0.044219255447387695,2.2036020755767822,-0.035335540771484375
selected,17,0.17635764572024556,1.620160460472107,1.8178865909576416,1.6232309341430664,0.0030704736709594727,1.824977993965149,0.007091403007507324
selected,18,0.16176244715164548,1.610412836074829,1.8052767515182495,1.6280263662338257,0.017613530158996582,1.8242676258087158,0.01899087429046631
selected,19,0.03700541385993479,1.7729294300079346,1.9463646411895752,1.7724840641021729,-0.00044536590576171875,1.9483236074447632,0.0019589662551879883
selected,20,-0.1613288408896635,1.9651676416397095,2.0783274173736572,1.9438574314117432,-0.02131021022796631,2.062297821044922,-0.01602959632873535
selected,21,-0.2291252278516337,2.0400991439819336,2.1280124187469482,2.0230300426483154,-0.017069101333618164,2.117462158203125,-0.010550260543823242
selected,22,-0.4346220503932809,2.2612617015838623,2.2764158248901367,2.2151405811309814,-0.04612112045288086,2.237792491912842,-0.03862333297729492
selected,23,0.3480696477983587,1.5040028095245361,1.7348544597625732,1.5014963150024414,-0.0025064945220947266,1.7349673509597778,0.00011289119720458984
selected,24,-0.4425836976874488,2.240950345993042,2.270875930786133,2.199960947036743,-0.04098939895629883,2.235013246536255,-0.03586268424987793
selected,25,0.15575047961155963,1.6638211011886597,1.858342170715332,1.6687803268432617,0.004959225654602051,1.8662906885147095,0.007948517799377441
selected,26,0.03234810147365195,1.7818613052368164,1.9361388683319092,1.775641679763794,-0.006219625473022461,1.9321551322937012,-0.003983736038208008
selected,27,-0.36685866738795003,2.1919023990631104,2.2272260189056396,2.1620144844055176,-0.029887914657592773,2.2043464183807373,-0.022879600524902344
selected,28,-0.45477014026240226,2.2321650981903076,2.2438557147979736,2.1851730346679688,-0.04699206352233887,2.2051403522491455,-0.038715362548828125
selected,29,-0.46988297457812184,2.411846399307251,2.4264116287231445,2.3493034839630127,-0.06254291534423828,2.3715639114379883,-0.05484771728515625
selected,30,0.04379751958601948,1.7913681268692017,1.9336259365081787,1.7746977806091309,-0.0166703462600708,1.920514702796936,-0.013111233711242676
selected,31,0.13393114430878897,1.664588451385498,1.8616478443145752,1.6647088527679443,0.00012040138244628906,1.8633867502212524,0.001738905906677246
selected,32,0.21262633834314057,1.612747311592102,1.8236325979232788,1.6168500185012817,0.0041027069091796875,1.831193208694458,0.007560610771179199
selected,33,-0.4240335086854074,2.3084352016448975,2.334254264831543,2.259675979614258,-0.04875922203063965,2.2930266857147217,-0.04122757911682129
selected,34,-0.44394318861186965,2.3387343883514404,2.3391966819763184,2.290646553039551,-0.04808783531188965,2.2985167503356934,-0.040679931640625
selected,35,-0.1496032734170133,1.9234107732772827,2.022704601287842,1.9101753234863281,-0.01323544979095459,2.014220952987671,-0.008483648300170898
selected,36,-0.4436555356265637,2.2312238216400146,2.260530710220337,2.192816734313965,-0.038407087326049805,2.2304155826568604,-0.030115127563476562
selected,37,-0.204619104548757,2.090576410293579,2.167703151702881,2.0742735862731934,-0.016302824020385742,2.156913995742798,-0.010789155960083008
selected,38,0.35413357644997473,1.5239667892456055,1.7573524713516235,1.5180387496948242,-0.00592803955078125,1.753241777420044,-0.00411069393157959
selected,39,0.35508191711915005,1.5167485475540161,1.7534422874450684,1.5129902362823486,-0.0037583112716674805,1.7520959377288818,-0.0013463497161865234
selected,40,-0.23919190542704324,2.220247507095337,2.3060426712036133,2.15812349319458,-0.062124013900756836,2.2522153854370117,-0.05382728576660156
selected,41,-0.3405376290549624,2.2851719856262207,2.327366352081299,2.234541654586792,-0.05063033103942871,2.2843472957611084,-0.04301905632019043
selected,42,-0.4103403225186684,2.2139925956726074,2.2466366291046143,2.1678659915924072,-0.046126604080200195,2.2082693576812744,-0.038367271423339844
selected,43,0.17903333525441312,1.6375484466552734,1.8384323120117188,1.648886799812317,0.011338353157043457,1.8536890745162964,0.015256762504577637
selected,44,-0.10055141793182469,1.8839021921157837,2.0215163230895996,1.883713960647583,-0.0001882314682006836,2.025547742843628,0.00403141975402832
selected,45,0.34223353528925654,1.529587745666504,1.770498514175415,1.5260404348373413,-0.0035473108291625977,1.7689383029937744,-0.001560211181640625
selected,46,-0.2944754113699857,2.1370651721954346,2.2089052200317383,2.104475736618042,-0.03258943557739258,2.1835453510284424,-0.0253598690032959
selected,47,-0.42437712851765547,2.228844404220581,2.268649101257324,2.1987597942352295,-0.030084609985351562,2.2453978061676025,-0.02325129508972168
selected,48,0.3629131029241631,1.5238581895828247,1.774603009223938,1.5209780931472778,-0.002880096435546875,1.7748851776123047,0.0002821683883666992
selected,49,-0.44952385768512343,2.238022804260254,2.243706226348877,2.20693302154541,-0.03108978271484375,2.2203197479248047,-0.023386478424072266
selected,50,-0.0696914335517825,1.9123173952102661,2.0335588455200195,1.8955926895141602,-0.016724705696105957,2.0205516815185547,-0.013007164001464844
selected,51,0.1984530464851873,1.6328225135803223,1.831892728805542,1.6354190111160278,0.0025964975357055664,1.8373727798461914,0.005480051040649414
selected,52,0.037337759212293,1.8570436239242554,1.988453984260559,1.8300995826721191,-0.02694404125213623,1.965381383895874,-0.02307260036468506
selected,53,-0.05223121954639464,1.8681769371032715,2.0244252681732178,1.8668986558914185,-0.0012782812118530273,2.027316093444824,0.0028908252716064453
selected,54,0.34876936421668947,1.4979397058486938,1.7398141622543335,1.498272180557251,0.0003324747085571289,1.7419672012329102,0.00215303897857666
selected,55,0.20504416643351053,1.6090837717056274,1.8082547187805176,1.6118515729904175,0.002767801284790039,1.8130595684051514,0.004804849624633789
selected,57,-0.02490996528939263,1.8490798473358154,1.9878230094909668,1.8375674486160278,-0.011512398719787598,1.9808788299560547,-0.006944179534912109
selected,58,0.15807421313403752,1.655156135559082,1.8470686674118042,1.6572179794311523,0.0020618438720703125,1.8528692722320557,0.005800604820251465
selected,59,-0.0313026174804837,1.8277896642684937,1.9704644680023193,1.8203154802322388,-0.007474184036254883,1.9668233394622803,-0.0036411285400390625
selected,60,-0.3733590050206568,2.151299238204956,2.213979721069336,2.131122350692749,-0.02017688751220703,2.198915958404541,-0.015063762664794922
selected,61,-0.5734598575106268,2.4261255264282227,2.4260857105255127,2.385906934738159,-0.04021859169006348,2.3952701091766357,-0.030815601348876953
selected,62,-0.4204057219757763,2.326979875564575,2.3339548110961914,2.270965576171875,-0.056014299392700195,2.28637957572937,-0.04757523536682129
selected,63,-0.06000701508242722,1.9054239988327026,2.0275280475616455,1.884911060333252,-0.020512938499450684,2.0110647678375244,-0.016463279724121094
selected,64,0.3664375008215793,1.5154999494552612,1.7519121170043945,1.5118656158447266,-0.003634333610534668,1.7504971027374268,-0.0014150142669677734
selected,65,-0.12283631741223562,1.9029772281646729,2.0164642333984375,1.8923139572143555,-0.010663270950317383,2.010490655899048,-0.0059735774993896484
selected,66,-0.5381298285827363,2.3126657009124756,2.3367552757263184,2.2713024616241455,-0.04136323928833008,2.301988124847412,-0.03476715087890625
selected,67,0.15301959837093992,1.6474608182907104,1.8290841579437256,1.6411834955215454,-0.006277322769165039,1.8258274793624878,-0.003256678581237793
selected,68,0.16470512886983094,1.6505987644195557,1.842585563659668,1.6459603309631348,-0.0046384334564208984,1.8412046432495117,-0.00138092041015625
selected,69,-0.24695770209211376,2.1543359756469727,2.1935300827026367,2.1030383110046387,-0.051297664642333984,2.14941143989563,-0.044118642807006836
selected,70,-0.1806314739996638,1.995441198348999,2.086580276489258,1.976035475730896,-0.019405722618103027,2.073105812072754,-0.013474464416503906
