case,case_short,original_sim_idx,frame,trajectory_progress,p_ratio,final_p_ratio,horizontal_strain,x_compression,vertical_strain,mean_abs_x_disp,mean_abs_y_disp,mean_x_disp,mean_y_disp,rms_disp,max_node_disp,z0,z1,lambda1,lambda2,lambda3,lambda4,lambda5,lambda6,lambda7,lambda8,lambda9,lambda10,lambda11,lambda12,soft_mode_gap_6_5
selected trajectory sim 56,selected,56,0,0.0,,0.40844515428566636,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.521194338798523,1.7736738920211792,-3.0091525813795445e-09,-2.3519131038803605e-15,6.1906991074066824e-15,0.05522763063233765,0.06127635978310579,0.06884185354315205,0.09886109416217408,0.12051036680749609,0.13080498848534383,0.16320198834602911,0.17267825033148054,0.1773258106613028,0.007565493760046255
selected trajectory sim 56,selected,56,1,0.010101010101010102,0.37318255250403876,0.40844515428566636,-7.691850253680741e-05,7.691850253680741e-05,2.903346712558025e-05,0.00024524706532247365,9.208984556607902e-05,-5.699176597318001e-08,-2.4385130359405593e-07,0.00030371741740964353,0.0005264428909868002,1.4480059146881104,1.683821201324463,-3.523435558516885e-05,-1.1536654614501171e-15,5.813365716080543e-17,0.055209474843259033,0.0612334454415088,0.06883474233771955,0.098803668221249,0.12047842567883167,0.1307793790237567,0.1631707126490524,0.1726450924573088,0.17731032702809407,0.007601296896210752
selected trajectory sim 56,selected,56,2,0.020202020202020204,0.3817204301075269,0.40844515428566636,-0.0001544969350286494,0.0001544969350286494,5.9598850858289107e-05,0.0004902149084955454,0.0001894103188533336,-4.588962667639862e-07,-1.0344924703531433e-06,0.0006097850273363292,0.0010433024726808071,1.376869797706604,1.5964841842651367,-6.949736340822775e-05,1.5947182160116152e-15,2.2553606109811887e-15,0.05519198454356791,0.06119069709186098,0.06882881844157654,0.09874883299386379,0.12044767133645407,0.1307537852787582,0.16313978007725205,0.17261359262544135,0.17729712990952032,0.00763812134971556
selected trajectory sim 56,selected,56,3,0.030303030303030304,0.387941862551588,0.40844515428566636,-0.0002314887631160162,0.0002314887631160162,9.09666670994939e-05,0.0007350302767008543,0.0002903149288613349,-6.131206760073837e-07,-1.5257651284628082e-06,0.0009168244432657957,0.0015692394226789474,1.306415319442749,1.5099871158599854,-0.00010336752644497286,-1.3220196126240958e-14,3.2096404919163496e-15,0.05517494816218747,0.061148276996091135,0.0688229209895932,0.09869348522501344,0.12041706445845178,0.13072784711144994,0.163109287598987,0.17258324209777104,0.1772839527602131,0.00767464399350206
selected trajectory sim 56,selected,56,4,0.04040404040404041,0.3925636535093628,0.40844515428566636,-0.00030760068459667026,0.00030760068459667026,0.00012306396743933136,0.0009804409928619862,0.0003923120384570211,-9.502465445621056e-07,-2.371612936258316e-06,0.0012247331906110048,0.0020927346777170897,1.2365981340408325,1.4242665767669678,-0.00013656143099665362,-1.9933201276141804e-16,6.867614046452858e-16,0.05515808942823402,0.061106004110965624,0.06881744639969545,0.09863894265988926,0.12038658585073676,0.13070222475771676,0.16307894607415144,0.17255296619832936,0.17727138150840344,0.007711442288729824
selected trajectory sim 56,selected,56,5,0.050505050505050504,0.3940504419055831,0.40844515428566636,-0.00038444586158291826,0.00038444586158291826,0.00015450473209039942,0.0012266370467841625,0.0004943149397149682,-5.420038746706268e-07,-3.042372100026114e-06,0.0015332810580730438,0.0026261107996106148,1.1663646697998047,1.3380414247512817,-0.00017043913097579449,-4.516507175712757e-16,2.8331306794760065e-15,0.05514088803813814,0.06106345116620091,0.0688113181024333,0.09858404557497075,0.12035617812456627,0.13067653847052205,0.16304749223375087,0.17252213049986612,0.17725814316602076,0.007747866936232382
selected trajectory sim 56,selected,56,6,0.06060606060606061,0.39735872787709997,0.40844515428566636,-0.0004605577830635723,0.0004605577830635723,0.0001866020324302369,0.0014726859517395496,0.0005984836025163531,-1.4650868251919746e-06,-3.3927046843018616e-06,0.0018427936593070626,0.0031593062449246645,1.0965209007263184,1.2522931098937988,-0.00020380740149954379,5.3302951542798614e-15,6.643065433985182e-15,0.055124169706233614,0.061021029757508824,0.06880622900351398,0.09852995565980266,0.1203259026858508,0.1306512648306767,0.1630164539484947,0.1724918570474408,0.1772456822870735,0.007785199246005153
selected trajectory sim 56,selected,56,7,0.0707070707070707,0.3977981368850566,0.40844515428566636,-0.0005366697045442264,0.0005366697045442264,0.00021869933277007434,0.0017182548763230443,0.0007010058034211397,-1.2693667486018967e-06,-4.295880444260547e-06,0.00215157400816679,0.0036920642014592886,1.026244878768921,1.1660082340240479,-0.00023780670784240981,1.4909864273756941e-15,1.8004672547259185e-15,0.055107182949422955,0.060978372506374286,0.06880065449348817,0.09847588665432429,0.12029596951063845,0.1306255107925264,0.16298474165610316,0.17246109626791983,0.17723250305510116,0.007822281987113884
selected trajectory sim 56,selected,56,8,0.08080808080808081,0.3998651836872262,0.40844515428566636,-0.0006135148815304744,0.0006135148815304744,0.00025159906561840776,0.0019636990036815405,0.0008055925136432052,-1.6116019878609222e-06,-4.232499122736044e-06,0.002460773568600416,0.004229369107633829,0.9565832614898682,1.0804790258407593,-0.0002713478163013372,1.6008268660306754e-15,3.465169116148799e-15,0.05509040181463601,0.0609363958147708,0.0687954196300146,0.09842230260467147,0.12026726201290386,0.13060003570343467,0.1629545364503161,0.1724311623124885,0.17721967005688874,0.00785902381524381
selected trajectory sim 56,selected,56,9,0.09090909090909091,0.399748322147651,0.40844515428566636,-0.0006888935475055344,0.0006888935475055344,0.0002829668818596125,0.0022096619941294193,0.0009072876418940723,-1.227017492055893e-06,-5.473227702168515e-06,0.0027692816220223904,0.004758209455758333,0.8858119249343872,0.9935979843139648,-0.0003057322494399316,-2.0956281368722407e-15,8.777104870145518e-15,0.055073349227596685,0.06089341888359595,0.0687896033455598,0.09836710278743183,0.12023625306213774,0.13057423711617888,0.16292225478384953,0.1724002979320926,0.1772062548514353,0.007896184461963843
