case,case_short,train_original_sim_idx,original_sim_idx,frames_encoded,final_p_ratio,initial_z0,initial_z1
selected trajectory sim 56,selected,56,0,100,-0.4807224091848549,2.3798184394836426,2.388707399368286
selected trajectory sim 56,selected,56,1,100,-0.20260149053372217,2.0691208839416504,2.1413662433624268
selected trajectory sim 56,selected,56,2,100,0.12600592325434534,1.6786643266677856,1.881829857826233
selected trajectory sim 56,selected,56,3,100,-0.45584325610126514,2.2322466373443604,2.265728235244751
selected trajectory sim 56,selected,56,4,100,0.1278935707687713,1.6771665811538696,1.8521969318389893
selected trajectory sim 56,selected,56,5,100,0.026206553415310255,1.7547836303710938,1.9173153638839722
selected trajectory sim 56,selected,56,6,100,0.3630376812533941,1.5014723539352417,1.757798194885254
selected trajectory sim 56,selected,56,7,100,-0.3942740135525513,2.2045180797576904,2.2239458560943604
selected trajectory sim 56,selected,56,8,100,-0.3943129812633864,2.2593164443969727,2.2897305488586426
selected trajectory sim 56,selected,56,9,100,0.1672963915372404,1.7037585973739624,1.8934720754623413
selected trajectory sim 56,selected,56,10,100,-0.4575559254783025,2.3505442142486572,2.3718745708465576
selected trajectory sim 56,selected,56,11,100,-0.08124782558274382,1.964223027229309,2.096078634262085
selected trajectory sim 56,selected,56,12,100,0.34363610284625656,1.5218403339385986,1.7558822631835938
selected trajectory sim 56,selected,56,13,100,0.10598580935001119,1.7449629306793213,1.9273748397827148
selected trajectory sim 56,selected,56,14,100,-0.02043953611353658,1.8979041576385498,2.025320529937744
selected trajectory sim 56,selected,56,15,100,0.0034385083193314795,1.8147969245910645,1.9699956178665161
selected trajectory sim 56,selected,56,16,100,-0.3836751706292006,2.178492784500122,2.2389376163482666
selected trajectory sim 56,selected,56,17,100,0.17635764572024556,1.620160460472107,1.8178867101669312
selected trajectory sim 56,selected,56,18,100,0.16176244715164548,1.6104129552841187,1.8052767515182495
selected trajectory sim 56,selected,56,19,100,0.03700541385993479,1.772929310798645,1.9463646411895752
selected trajectory sim 56,selected,56,20,100,-0.1613288408896635,1.96516752243042,2.0783274173736572
selected trajectory sim 56,selected,56,21,100,-0.2291252278516337,2.0400991439819336,2.1280124187469482
selected trajectory sim 56,selected,56,22,100,-0.4346220503932809,2.2612617015838623,2.2764158248901367
selected trajectory sim 56,selected,56,23,100,0.3480696477983587,1.5040028095245361,1.7348544597625732
selected trajectory sim 56,selected,56,24,100,-0.4425836976874488,2.240950345993042,2.270876169204712
selected trajectory sim 56,selected,56,25,100,0.15575047961155963,1.6638211011886597,1.858342170715332
selected trajectory sim 56,selected,56,26,100,0.03234810147365195,1.7818613052368164,1.9361388683319092
selected trajectory sim 56,selected,56,27,100,-0.36685866738795003,2.1919023990631104,2.2272260189056396
selected trajectory sim 56,selected,56,28,100,-0.45477014026240226,2.2321646213531494,2.2438557147979736
selected trajectory sim 56,selected,56,29,100,-0.46988297457812184,2.411846399307251,2.4264113903045654
selected trajectory sim 56,selected,56,30,100,0.04379751958601948,1.7913681268692017,1.9336261749267578
selected trajectory sim 56,selected,56,31,100,0.13393114430878897,1.6645883321762085,1.8616477251052856
selected trajectory sim 56,selected,56,32,100,0.21262633834314057,1.612747311592102,1.8236325979232788
selected trajectory sim 56,selected,56,33,100,-0.4240335086854074,2.3084352016448975,2.334254264831543
selected trajectory sim 56,selected,56,34,100,-0.44394318861186965,2.3387343883514404,2.3391964435577393
selected trajectory sim 56,selected,56,35,100,-0.1496032734170133,1.9234107732772827,2.022704601287842
selected trajectory sim 56,selected,56,36,100,-0.4436555356265637,2.2312238216400146,2.260530710220337
