frame,trajectory_progress,z0,z1,case,case_short,train_original_sim_idx,original_sim_idx,final_p_ratio
0,0.0,2.3798184394836426,2.388707399368286,selected trajectory sim 56,selected,56,0,-0.4807224091848549
1,0.010101010101010102,2.32694935798645,2.323798179626465,selected trajectory sim 56,selected,56,0,-0.4807224091848549
2,0.020202020202020204,2.2855026721954346,2.2729408740997314,selected trajectory sim 56,selected,56,0,-0.4807224091848549
3,0.030303030303030304,2.2463862895965576,2.2249696254730225,selected trajectory sim 56,selected,56,0,-0.4807224091848549
4,0.04040404040404041,2.211153507232666,2.181795597076416,selected trajectory sim 56,selected,56,0,-0.4807224091848549
5,0.050505050505050504,2.178804874420166,2.1421635150909424,selected trajectory sim 56,selected,56,0,-0.4807224091848549
6,0.06060606060606061,2.1474850177764893,2.1038010120391846,selected trajectory sim 56,selected,56,0,-0.4807224091848549
7,0.0707070707070707,2.115658760070801,2.0648257732391357,selected trajectory sim 56,selected,56,0,-0.4807224091848549
8,0.08080808080808081,2.0852713584899902,2.0276031494140625,selected trajectory sim 56,selected,56,0,-0.4807224091848549
9,0.09090909090909091,2.055293321609497,1.990910530090332,selected trajectory sim 56,selected,56,0,-0.4807224091848549
10,0.10101010101010101,2.025778293609619,1.9547691345214844,selected trajectory sim 56,selected,56,0,-0.4807224091848549
11,0.1111111111111111,1.9970486164093018,1.9195983409881592,selected trajectory sim 56,selected,56,0,-0.4807224091848549
12,0.12121212121212122,1.9673594236373901,1.8832404613494873,selected trajectory sim 56,selected,56,0,-0.4807224091848549
13,0.13131313131313133,1.939489483833313,1.849125623703003,selected trajectory sim 56,selected,56,0,-0.4807224091848549
14,0.1414141414141414,1.9096500873565674,1.8125940561294556,selected trajectory sim 56,selected,56,0,-0.4807224091848549
15,0.15151515151515152,1.8819215297698975,1.7786567211151123,selected trajectory sim 56,selected,56,0,-0.4807224091848549
16,0.16161616161616163,1.853735089302063,1.744154453277588,selected trajectory sim 56,selected,56,0,-0.4807224091848549
