dataset,split,sim_idx,target_index,rollout_steps,pred_p_ratio,true_p_ratio,final_pos_mse,initial_to_target_mse,pred_to_initial_mse,movement_fraction_mse,case,case_short,train_original_sim_idx,original_sim_idx
selected CV2 sim-56,other_trajectories,0,99,99,0.42038485147722116,-0.4644641463142634,0.00036613515112549067,0.0005089982878416777,0.000562029832508415,1.1041880610082377,selected trajectory sim 56,selected,56,0
selected CV2 sim-56,other_trajectories,1,99,99,0.3964135966554732,-0.1993038861912554,0.00024582730839028955,0.0006044502952136099,0.00041378525202162564,0.6845645627079987,selected trajectory sim 56,selected,56,1
selected CV2 sim-56,other_trajectories,2,99,99,0.40006503251625813,0.12766964008809878,7.687372271902859e-05,0.00045337373740039766,0.0006434673559851944,1.419286789029236,selected trajectory sim 56,selected,56,2
selected CV2 sim-56,other_trajectories,3,99,99,0.3948032665181886,-0.4390385093974183,0.0003766262379940599,0.0005182242603041232,0.0005979033885523677,1.153754145360706,selected trajectory sim 56,selected,56,3
selected CV2 sim-56,other_trajectories,4,99,99,0.4208185497976113,0.1306944011548746,7.813314005034044e-05,0.00041240689461119473,0.0006143602076917887,1.4896943182072397,selected trajectory sim 56,selected,56,4
selected CV2 sim-56,other_trajectories,5,99,99,0.39252155677040385,0.03180375053555538,0.00011007618741132319,0.00041381613118574023,0.0005999355926178396,1.4497636689483238,selected trajectory sim 56,selected,56,5
selected CV2 sim-56,other_trajectories,6,99,99,0.42537329724065664,0.3627939396559177,2.1181802367209457e-05,0.00045368066639639437,0.000497456407174468,1.0964902056016324,selected trajectory sim 56,selected,56,6
selected CV2 sim-56,other_trajectories,7,99,99,0.40974479194416324,-0.38191491495507063,0.0004126564599573612,0.0006033155950717628,0.0005801026127301157,0.9615243124307337,selected trajectory sim 56,selected,56,7
selected CV2 sim-56,other_trajectories,8,99,99,0.40633329163739934,-0.377031798373501,0.000416861439589411,0.00046213201130740345,0.0007209499017335474,1.5600518555161982,selected trajectory sim 56,selected,56,8
selected CV2 sim-56,other_trajectories,9,99,99,0.3980207723290585,0.16768259068500055,4.2849052988458425e-05,0.0004376746655907482,0.0004209525650367141,0.9617933093489348,selected trajectory sim 56,selected,56,9
selected CV2 sim-56,other_trajectories,10,99,99,0.40309808538323316,-0.44999008470494917,0.00040193620952777565,0.0005311139393597841,0.0004288784693926573,0.8075074623528736,selected trajectory sim 56,selected,56,10
selected CV2 sim-56,other_trajectories,11,99,99,0.4285993001535634,-0.0795926402267776,0.0001504319516243413,0.0005061579286120832,0.0003876315604429692,0.7658312525220721,selected trajectory sim 56,selected,56,11
selected CV2 sim-56,other_trajectories,12,99,99,0.4005129678059792,0.34378466874185454,2.684721584955696e-05,0.00044846610398963094,0.0005739720072597265,1.2798559404012335,selected trajectory sim 56,selected,56,12
selected CV2 sim-56,other_trajectories,13,99,99,0.3968417228510363,0.11065295510623148,0.00010676217789296061,0.00041336368303745985,0.0007019155309535563,1.6980580533726939,selected trajectory sim 56,selected,56,13
selected CV2 sim-56,other_trajectories,14,99,99,0.42706326842066156,-0.018366071380874285,0.00011974415247095749,0.0004410108958836645,0.0004816455184482038,1.0921397247637583,selected trajectory sim 56,selected,56,14
selected CV2 sim-56,other_trajectories,15,99,99,0.3953448374706186,0.008471440852258507,0.00012316761421971023,0.00039160597953014076,0.0005630893283523619,1.4378976772213015,selected trajectory sim 56,selected,56,15
selected CV2 sim-56,other_trajectories,16,99,99,0.37695383303124,-0.3693272164682625,0.00032826780807226896,0.0005409984150901437,0.0005649896338582039,1.04434619048572,selected trajectory sim 56,selected,56,16
selected CV2 sim-56,other_trajectories,17,99,99,0.4003568101957035,0.1781181689770182,6.670857692370191e-05,0.00044354802230373025,0.0006470097578130662,1.4587141082324806,selected trajectory sim 56,selected,56,17
selected CV2 sim-56,other_trajectories,18,99,99,0.4299955946417791,0.16343261214657592,5.54649050172884e-05,0.00039760436629876494,0.000529071781784296,1.330648822369181,selected trajectory sim 56,selected,56,18
selected CV2 sim-56,other_trajectories,19,99,99,0.4100529941706412,0.04023455706218364,9.432045044377446e-05,0.0004181400581728667,0.0005451914039440453,1.3038487781494814,selected trajectory sim 56,selected,56,19
selected CV2 sim-56,other_trajectories,20,99,99,0.4134470440043777,-0.15222946076930388,0.00019197064102627337,0.0004825952055398375,0.0006016567349433899,1.2467109661198739,selected trajectory sim 56,selected,56,20
